variable,coefficient,risque_relatif,borne_basse,borne_haute,p_value
const,-5.172660346739575,0.0056694659933796835,0.0038372356935343953,0.008376562509373145,1.009468305453908e-148
etoiles_1,3.416940075377566,30.476017882310323,6.373240535891565,145.73240421922478,1.8710891750261926e-05
etoiles_2,1.5915928361408447,4.9115660208662995,1.462154063239048,16.49859025381272,0.010038770530659887
etoiles_3,-0.15010376767822692,0.8606186673904885,0.3898432400215438,1.8999033832677183,0.7102608285936995
etoiles_4,-0.45145158420662046,0.6367032521143458,0.3675133846016555,1.1030646725761672,0.10737280111066938
etoiles_5,0.0,1.0,1.0,1.0,
has_photo,-0.1263162947405982,0.8813360407389123,0.5714557212663126,1.3592535480861085,0.5677047439605432
texte_sans_texte,0.0,1.0,1.0,1.0,
texte_texte_1_50,-0.3038160901572551,0.7379965788055441,0.4763707593619404,1.1433089450288405,0.17372983675049736
texte_texte_51_200,-0.8632272420249263,0.4217986371295097,0.16852969151000058,1.055683949161886,0.06515470532982989
texte_texte_201p,-1.7674457512045563,0.170768617772454,0.03487587874230431,0.8361630406903896,0.02920294160872614
a_une_reponse,0.009331155591181202,1.0093748265513334,0.5556514861481546,1.8335909574151292,0.9755588739179019
log2_rythme_fiche,0.03902183314011818,1.0397931853526419,0.806615340953552,1.3403785093247458,0.7632691721062741
