variable,passage,coefficient,risque_relatif,borne_basse,borne_haute,p_value,avis,suppressions,capacite_a_classer
const,US_avec_enseignes,-4.3399140835894325,0.013037648303264024,0.009310009991833675,0.018257797083859457,8.965074953237296e-141,127813,1851,0.6144707297761745
etoiles_1,US_avec_enseignes,0.6079309288427316,1.8366273520362992,1.2876922343059396,2.6195700652539915,0.0007917794260536426,127813,1851,0.6144707297761745
etoiles_2,US_avec_enseignes,-0.3685292019777534,0.6917510088055964,0.3867278020954492,1.2373546861403455,0.21418912424720515,127813,1851,0.6144707297761745
etoiles_3,US_avec_enseignes,-0.7477232166078568,0.4734432543063085,0.2748678743863851,0.8154773108663097,0.007033925425917037,127813,1851,0.6144707297761745
etoiles_4,US_avec_enseignes,-0.8627158528359702,0.42201439555601544,0.2895054206456692,0.6151738010960565,7.232582182757045e-06,127813,1851,0.6144707297761745
etoiles_5,US_avec_enseignes,0.0,1.0,1.0,1.0,,127813,1851,0.6144707297761745
has_photo,US_avec_enseignes,-0.49227746260107375,0.6112327480740626,0.44978136568703553,0.8306379517245954,0.0016567337614643164,127813,1851,0.6144707297761745
texte_sans_texte,US_avec_enseignes,0.0,1.0,1.0,1.0,,127813,1851,0.6144707297761745
texte_texte_1_50,US_avec_enseignes,-0.013410691129165856,0.98667883155526,0.793811766637834,1.2264055000880525,0.9038105335939737,127813,1851,0.6144707297761745
texte_texte_51_200,US_avec_enseignes,-0.004968379158170522,0.9950439428223559,0.8083522852802028,1.2248526616143018,0.9626215308586572,127813,1851,0.6144707297761745
texte_texte_201p,US_avec_enseignes,0.0967705796308323,1.1016076134026032,0.8659830405392049,1.4013430715120796,0.4306326642098103,127813,1851,0.6144707297761745
a_une_reponse,US_avec_enseignes,-0.3625391542828878,0.6959070654030998,0.4854705129281795,0.9975613982338809,0.04846672373248131,127813,1851,0.6144707297761745
log2_rythme_fiche,US_avec_enseignes,0.29689827856034895,1.3456784081408417,1.0724915649800049,1.6884518603838445,0.010333827113878653,127813,1851,0.6144707297761745
const,US_sans_enseignes,-4.758422260498127,0.008579134364433801,0.006052667578683562,0.012160183173155047,1.8085559128004752e-157,113173,1159,0.6287976596379727
etoiles_1,US_sans_enseignes,0.8669469524026372,2.3796346140823568,1.5895180841752585,3.5625017122576685,2.5430240074086643e-05,113173,1159,0.6287976596379727
etoiles_2,US_sans_enseignes,-0.12057162326983546,0.8864135972314604,0.47810159574901306,1.6434353542072226,0.7018794995046581,113173,1159,0.6287976596379727
etoiles_3,US_sans_enseignes,-0.4795781684201269,0.6190444692433882,0.3466736184769915,1.1054087605061358,0.1049766192980699,113173,1159,0.6287976596379727
etoiles_4,US_sans_enseignes,-0.8688164664485143,0.4194476860019542,0.25556678034414276,0.6884163937718372,0.0005883274517215491,113173,1159,0.6287976596379727
etoiles_5,US_sans_enseignes,0.0,1.0,1.0,1.0,,113173,1159,0.6287976596379727
has_photo,US_sans_enseignes,-0.2716624816118085,0.7621114443116692,0.5600460788591997,1.0370822606845533,0.08393163410804494,113173,1159,0.6287976596379727
texte_sans_texte,US_sans_enseignes,0.0,1.0,1.0,1.0,,113173,1159,0.6287976596379727
texte_texte_1_50,US_sans_enseignes,0.14927071663034747,1.160987245224905,0.8408464275211402,1.60301731619241,0.3644860610071914,113173,1159,0.6287976596379727
texte_texte_51_200,US_sans_enseignes,0.2004584269537502,1.2219628104676237,0.9332103573174965,1.6000605849018885,0.14500504008135973,113173,1159,0.6287976596379727
texte_texte_201p,US_sans_enseignes,0.36162519025372175,1.4356607414670064,1.1252655347053984,1.8316759031717873,0.0036200619494489434,113173,1159,0.6287976596379727
a_une_reponse,US_sans_enseignes,-0.48499368690763867,0.6157010837298242,0.413286615674097,0.9172516363438565,0.01709533424528656,113173,1159,0.6287976596379727
log2_rythme_fiche,US_sans_enseignes,0.25647917556460603,1.292371852605305,0.9612978080608074,1.7374688586628062,0.08940162431356992,113173,1159,0.6287976596379727
const,Europe_avec_enseignes,-5.172660346739575,0.0056694659933796835,0.0038372356935343953,0.008376562509373145,1.009468305453908e-148,97944,744,0.7399498125222108
etoiles_1,Europe_avec_enseignes,3.416940075377566,30.476017882310323,6.373240535891565,145.73240421922478,1.8710891750261926e-05,97944,744,0.7399498125222108
etoiles_2,Europe_avec_enseignes,1.5915928361408447,4.9115660208662995,1.462154063239048,16.49859025381272,0.010038770530659887,97944,744,0.7399498125222108
etoiles_3,Europe_avec_enseignes,-0.15010376767822692,0.8606186673904885,0.3898432400215438,1.8999033832677183,0.7102608285936995,97944,744,0.7399498125222108
etoiles_4,Europe_avec_enseignes,-0.45145158420662046,0.6367032521143458,0.3675133846016555,1.1030646725761672,0.10737280111066938,97944,744,0.7399498125222108
etoiles_5,Europe_avec_enseignes,0.0,1.0,1.0,1.0,,97944,744,0.7399498125222108
has_photo,Europe_avec_enseignes,-0.1263162947405982,0.8813360407389123,0.5714557212663126,1.3592535480861085,0.5677047439605432,97944,744,0.7399498125222108
texte_sans_texte,Europe_avec_enseignes,0.0,1.0,1.0,1.0,,97944,744,0.7399498125222108
texte_texte_1_50,Europe_avec_enseignes,-0.3038160901572551,0.7379965788055441,0.4763707593619404,1.1433089450288405,0.17372983675049736,97944,744,0.7399498125222108
texte_texte_51_200,Europe_avec_enseignes,-0.8632272420249263,0.4217986371295097,0.16852969151000058,1.055683949161886,0.06515470532982989,97944,744,0.7399498125222108
texte_texte_201p,Europe_avec_enseignes,-1.7674457512045563,0.170768617772454,0.03487587874230431,0.8361630406903896,0.02920294160872614,97944,744,0.7399498125222108
a_une_reponse,Europe_avec_enseignes,0.009331155591181202,1.0093748265513334,0.5556514861481546,1.8335909574151292,0.9755588739179019,97944,744,0.7399498125222108
log2_rythme_fiche,Europe_avec_enseignes,0.03902183314011818,1.0397931853526419,0.806615340953552,1.3403785093247458,0.7632691721062741,97944,744,0.7399498125222108
const,Europe_sans_enseignes,-5.504714818196459,0.004067548406282059,0.0026936774204246745,0.00614214230404742,4.665704951581599e-151,97587,417,0.6211898176867935
etoiles_1,Europe_sans_enseignes,1.2899857081657922,3.63273463694065,2.2358207037693996,5.902423624658152,1.898717528710177e-07,97587,417,0.6211898176867935
etoiles_2,Europe_sans_enseignes,0.3231902860279829,1.3815282114113918,0.735897298772561,2.5935958755508954,0.3145628432442157,97587,417,0.6211898176867935
