variable,coefficient,risque_relatif,borne_basse,borne_haute,p_value
const,-4.3399140835894325,0.013037648303264024,0.009310009991833675,0.018257797083859457,8.965074953237296e-141
etoiles_1,0.6079309288427316,1.8366273520362992,1.2876922343059396,2.6195700652539915,0.0007917794260536426
etoiles_2,-0.3685292019777534,0.6917510088055964,0.3867278020954492,1.2373546861403455,0.21418912424720515
etoiles_3,-0.7477232166078568,0.4734432543063085,0.2748678743863851,0.8154773108663097,0.007033925425917037
etoiles_4,-0.8627158528359702,0.42201439555601544,0.2895054206456692,0.6151738010960565,7.232582182757045e-06
etoiles_5,0.0,1.0,1.0,1.0,
has_photo,-0.49227746260107375,0.6112327480740626,0.44978136568703553,0.8306379517245954,0.0016567337614643164
texte_sans_texte,0.0,1.0,1.0,1.0,
texte_texte_1_50,-0.013410691129165856,0.98667883155526,0.793811766637834,1.2264055000880525,0.9038105335939737
texte_texte_51_200,-0.004968379158170522,0.9950439428223559,0.8083522852802028,1.2248526616143018,0.9626215308586572
texte_texte_201p,0.0967705796308323,1.1016076134026032,0.8659830405392049,1.4013430715120796,0.4306326642098103
a_une_reponse,-0.3625391542828878,0.6959070654030998,0.4854705129281795,0.9975613982338809,0.04846672373248131
log2_rythme_fiche,0.29689827856034895,1.3456784081408417,1.0724915649800049,1.6884518603838445,0.010333827113878653
