variable,coefficient,risque_relatif,borne_basse,borne_haute,p_value
const,-4.758422260498127,0.008579134364433801,0.006052667578683562,0.012160183173155047,1.8085559128004752e-157
etoiles_1,0.8669469524026372,2.3796346140823568,1.5895180841752585,3.5625017122576685,2.5430240074086643e-05
etoiles_2,-0.12057162326983546,0.8864135972314604,0.47810159574901306,1.6434353542072226,0.7018794995046581
etoiles_3,-0.4795781684201269,0.6190444692433882,0.3466736184769915,1.1054087605061358,0.1049766192980699
etoiles_4,-0.8688164664485143,0.4194476860019542,0.25556678034414276,0.6884163937718372,0.0005883274517215491
etoiles_5,0.0,1.0,1.0,1.0,
has_photo,-0.2716624816118085,0.7621114443116692,0.5600460788591997,1.0370822606845533,0.08393163410804494
texte_sans_texte,0.0,1.0,1.0,1.0,
texte_texte_1_50,0.14927071663034747,1.160987245224905,0.8408464275211402,1.60301731619241,0.3644860610071914
texte_texte_51_200,0.2004584269537502,1.2219628104676237,0.9332103573174965,1.6000605849018885,0.14500504008135973
texte_texte_201p,0.36162519025372175,1.4356607414670064,1.1252655347053984,1.8316759031717873,0.0036200619494489434
a_une_reponse,-0.48499368690763867,0.6157010837298242,0.413286615674097,0.9172516363438565,0.01709533424528656
log2_rythme_fiche,0.25647917556460603,1.292371852605305,0.9612978080608074,1.7374688586628062,0.08940162431356992
