risque_prevu,risque_observe,avis
0.0009950919909232849,0.0007654037504783774,2613
0.001579815117196381,0.0007656967840735069,2612
0.0021772475788858865,0.0019142419601837673,2612
0.0028684686593858644,0.003444316877152698,2613
0.003698196575912783,0.003444316877152698,2613
0.004811134150861632,0.004212945231711987,2611
0.006485506196795697,0.009567546880979716,2613
0.009242961817948868,0.009571209800918835,2612
0.014236946178313625,0.015313935681470138,2612
0.044218433780413326,0.04707233065442021,2613
