population,groupe,n_avis,n_supprimes,n_fiches,note_moyenne,longueur_mediane,part_supprimee_pct,langue_dominante,part_5_etoiles_pct,part_enseignes_pct
1_etoile_anglais_hors_enseignes,5,95,10,59,1.0,804.0,10.53,en,0.0,0.0
1_etoile_anglais_hors_enseignes,8,39,4,36,1.0,43.0,10.26,en,0.0,0.0
1_etoile_anglais_hors_enseignes,1,53,5,43,1.0,507.0,9.43,en,0.0,0.0
1_etoile_anglais_hors_enseignes,10,41,3,40,1.0,66.0,7.32,en,0.0,0.0
1_etoile_anglais_hors_enseignes,2,93,6,87,1.0,311.0,6.45,en,0.0,0.0
1_etoile_anglais_hors_enseignes,18,62,4,50,1.0,461.5,6.45,en,0.0,0.0
1_etoile_anglais_hors_enseignes,4,39,2,38,1.0,185.0,5.13,en,0.0,0.0
1_etoile_anglais_hors_enseignes,9,40,2,38,1.0,172.0,5.0,en,0.0,0.0
1_etoile_anglais_hors_enseignes,15,31,1,30,1.0,294.0,3.23,en,0.0,0.0
1_etoile_anglais_hors_enseignes,3,95,3,79,1.0,402.0,3.16,en,0.0,0.0
1_etoile_anglais_hors_enseignes,13,43,1,35,1.0,604.0,2.33,en,0.0,0.0
1_etoile_anglais_hors_enseignes,19,54,1,49,1.0,620.0,1.85,en,0.0,0.0
1_etoile_anglais_hors_enseignes,6,54,1,39,1.0,146.0,1.85,en,0.0,0.0
1_etoile_anglais_hors_enseignes,7,66,1,62,1.0,1580.5,1.52,en,0.0,0.0
1_etoile_anglais_hors_enseignes,16,38,0,33,1.0,101.5,0.0,en,0.0,0.0
