review_id,cid,population,groupe,etiquette,note,supprime,n_caracteres
Ci9DQUlRQUNvZENodHljRjlvT21kRU4waFZNMGhZTm5WWFFWZFdiRjlMWm0xUVltYxAB,11466047640980566323,1_etoile_anglais_hors_enseignes,1,,1,False,354
Ci9DQUlRQUNvZENodHljRjlvT21kRVlrWTVRVGRIYWtjNU4wRjZVSGhXY2tkSlFXYxAB,13609296054599897306,1_etoile_anglais_hors_enseignes,1,,1,True,554
Ci9DQUlRQUNvZENodHljRjlvT21oUFRYcFJXRUZ6VURFeE5HeDRTblpJYXkxV1pIYxAB,8826427626428560131,1_etoile_anglais_hors_enseignes,1,,1,False,159
Ci9DQUlRQUNvZENodHljRjlvT21sSVlVOXdaMjVqTWpSSWJYQk1RVWRHUTNNNFVXYxAB,12179770780704989290,1_etoile_anglais_hors_enseignes,1,,1,False,312
Ci9DQUlRQUNvZENodHljRjlvT25FMFRIZFBWMFpEU1dwSGRtMVVjbkY1U1RSM2FVRRAB,5360867958375359954,1_etoile_anglais_hors_enseignes,1,,1,False,1904
Ci9DQUlRQUNvZENodHljRjlvT25KelVGbEZWbUUwVVdvemFqWjRPRGhRU2tKQlJsRRAB,6260582073994729904,1_etoile_anglais_hors_enseignes,1,,1,False,768
Ci9DQUlRQUNvZENodHljRjlvT25SMlpHcDBWVEpaVlZRelRqTTRYM2QwTFU5Wk4zYxAB,5504937223883783056,1_etoile_anglais_hors_enseignes,1,,1,False,703
Ci9DQUlRQUNvZENodHljRjlvT25WdE1HbHVlRE0xTVVNd1VVOURPVzlvWTBJM2VrRRAB,735568804949797155,1_etoile_anglais_hors_enseignes,1,,1,False,199
Ci9DQUlRQUNvZENodHljRjlvT25ZNVh6RkxaREozTWxobVluQnZaRlpNVTI5c1JGRRAB,4805595342972133281,1_etoile_anglais_hors_enseignes,1,,1,False,1004
Ci9DQUlRQUNvZENodHljRjlvT25aZmJIVkpZbWhHUkhGaGVFOXBZV3RvWkdkWVEwRRAB,6659081717123797002,1_etoile_anglais_hors_enseignes,1,,1,False,388
Ci9DQUlRQUNvZENodHljRjlvT25kWmJrUkNWMWhaTFRGNk1UbGFla3RZTkdGRlRIYxAB,13301798434060981597,1_etoile_anglais_hors_enseignes,1,,1,False,253
Ci9DQUlRQUNvZENodHljRjlvT25rMldYRm9VR0pFTXpNM1ZUTTNWbVpLWldrME0zYxAB,7610321813166993410,1_etoile_anglais_hors_enseignes,1,,1,False,1276
Ci9DQUlRQUNvZENodHljRjlvT25wWVVFNWFUbHBNTkZwUWNuRTVhR1JyVVV4M2NFRRAB,7560507344211590372,1_etoile_anglais_hors_enseignes,1,,1,False,913
Ci9DQUlRQUNvZENodHljRjlvT2pKVE9GVnRPRFZGZDJ0b1NFbEdSMlZGTFhOTldFRRAB,7864325941761932328,1_etoile_anglais_hors_enseignes,1,,1,False,853
Ci9DQUlRQUNvZENodHljRjlvT2pKVWFsTnRSV3htTWs1U1UybHRlRUpQVG5ZemRrRRAB,12179770780704989290,1_etoile_anglais_hors_enseignes,1,,1,False,364
Ci9DQUlRQUNvZENodHljRjlvT2pKaVMzazNibmRDTm1aWU0xUjVUbUpMUzNOTGRYYxAB,16069512827606530358,1_etoile_anglais_hors_enseignes,1,,1,False,650
