risque_prevu,risque_observe,avis
0.0005444005554357322,0.0003823360734085261,5231
0.0010517693108393594,0.001147227533460803,5230
0.0015733442836262516,0.0007648183556405354,5230
0.002209931209717598,0.0019120458891013384,5230
0.0031134062821892303,0.0015296367112810707,5230
0.004594317826515714,0.0051625239005736135,5230
0.006925740728592868,0.006118546845124283,5230
0.010339528534499879,0.009369024856596558,5230
0.01703735794794486,0.02026768642447419,5230
0.06872546973991474,0.06709998088319633,5231
