risque_prevu,risque_observe,avis
0.0005947300790424583,0.0001839249586168843,5437
0.0009752377168017184,0.000919793966151582,5436
0.001346568109133442,0.001471129091577786,5438
0.001813687714883889,0.002208317997791682,5434
0.002433857645356247,0.0029433406916850625,5436
0.003283442473469959,0.0025754231052244297,5436
0.004685070186599588,0.005334805003679176,5436
0.007007796573270362,0.00459896983075791,5436
0.01126401015713293,0.011221486387049302,5436
0.03848409832351521,0.0358719646799117,5436
