variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value,risque_relatif_vs_3_etoiles
const,tous,-6.712575791559812,0.490718087805337,-13.67908776621787,0.001215529139103259,0.00046458521081283556,0.003180280072678304,1.353804287385863e-42,
has_photo,tous,-0.17646916746968905,0.13103050129339064,-1.346779305030335,0.8382246233428681,0.6483761770802412,1.0836618370871123,0.1780513218018076,
reponse_avant_surveillance,tous,0.01823605849257058,0.15434185801712763,0.11815367993397416,1.0184033507772832,0.7525646107915434,1.3781479623171944,0.9059458908489115,
langue_minoritaire_sur_la_fiche,tous,0.011333200336118985,0.18848075791884736,0.06012921669700962,1.0113976643487352,0.6990155457823668,1.4633798083920686,0.95205272049657,
log_age_vague1,tous,-0.6168143578033363,0.029057510282029183,-21.227364348032577,0.539660868610499,0.5097850914247156,0.5712875052809332,5.337306718899244e-100,
log_rc,tous,-0.14468064086686538,0.03428703434363168,-4.219689560107368,0.86529858999703,0.8090601664399377,0.9254461916540698,2.4463895187094973e-05,
log_burst,tous,2.2559226726793953,0.4691280338958983,4.808756905753356,9.544095324838844,3.8055046936306356,23.936314077360045,1.5187175774464883e-06,
log_ratio_pic_journalier_fiche,tous,0.3371199778565307,0.1384714206074022,2.4345816369743334,1.4009071314909642,1.067928702742564,1.8377076915548862,0.01490901630731125,
etoiles_1,tous,1.8472675797062375,0.3068826864487167,6.019458448708983,6.342465542654341,3.4756745204605384,11.573830898995524,1.7500157129888156e-09,7.337362701372259
etoiles_2,tous,0.7889656458558327,0.30878403661003373,2.555072647269732,2.2011185123191486,1.2017274401283464,4.031631918762391,0.010616563763683062,2.546392213718125
etoiles_3,tous,-0.14571189336452717,0.23874412836978215,-0.6103266051378624,0.8644067086213622,0.5413756999753941,1.380185623299267,0.5416454762877481,1.0
etoiles_4,tous,-0.47195575412447616,0.157740096406395,-2.991983426386079,0.6237811120486115,0.45789258085302514,0.8497689021816607,0.002771713101735846,0.7216291889306098
profil_aucun_niveau,tous,0.8326813182588467,0.09945871800835557,8.372130014674962,2.299476108919293,1.8922106715191331,2.794398348491264,5.658596171730822e-17,
profil_niveau_sans_avis_declare,tous,0.20855172156310198,0.10543788796072187,1.9779580717776941,1.2318926438263524,1.0018990594878938,1.5146830127669335,0.04793343685781301,
texte_texte_1_50,tous,-0.0026780143522088093,0.10533639284982337,-0.025423448437491277,0.9973255683293554,0.8112868805590872,1.2260253593131158,0.9797172080025093,
texte_texte_51_200,tous,-0.15095938060052197,0.1193780102901983,-1.264549310493213,0.8598826258657238,0.6804941991536846,1.0865605190834915,0.20603293363672281,
texte_texte_201p,tous,-0.41925444733814116,0.23055827835855294,-1.8184315493809213,0.6575368654752597,0.4184740620876751,1.0331697197721337,0.06899819996163396,
secteur_food_beverage,tous,-0.42810752166287463,0.391139741810157,-1.0945129729892298,0.651741334719163,0.3027865041673741,1.4028589832613996,0.2737300608136026,
secteur_healthcare,tous,0.302333033698844,0.30505801129883214,0.991067346212656,1.3530117501933134,0.7441075622795825,2.4601830285839092,0.32165269642483196,
secteur_home_services,tous,1.7456356190561484,0.2829682012376369,6.169016912222453,5.729542124423081,3.2904625113702277,9.976607495785851,6.871587891687951e-10,
secteur_hospitality,tous,-0.11339146796349626,0.31940230674881087,-0.3550114246753743,0.8928010886734792,0.4773962186762456,1.6696692448607606,0.7225810323500432,
secteur_travel,tous,1.2276512907324293,0.504347184802058,2.43413927494063,3.4132034918833387,1.2701677429559346,9.171983890799206,0.014927250196397514,
secteur_wellness_fitness,tous,1.4330693938540697,0.3840550565122888,3.7314165496691363,4.191544969831627,1.9745397140409757,8.897794817286831,0.00019040608517509463,
taille_large,tous,0.7472763489133304,0.30315322092024166,2.46501207094196,2.11124189233728,1.165449621906871,3.8245688566674714,0.013700863582540855,
taille_small,tous,0.5487601751859743,0.26645000108135686,2.0595240118554847,1.7311054193649165,1.02688276276942,2.918274686851939,0.039444067195417,
region_US,tous,0.6866737068539115,0.13439037970214812,5.109545105652645,1.9870948681704095,1.5269517117287186,2.585901037197097,3.229353900509826e-07,
etoiles_5,tous,0.0,,,1.0,1.0,1.0,,1.1568628401726484
