variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value,risque_relatif_vs_3_etoiles
const,Europe,-6.059173896400928,0.6262837718816848,-9.674805844315577,0.0023363301412760128,0.0006846056811611046,0.007973113106185705,3.858232845122364e-22,
has_photo,Europe,0.08253172727312635,0.2311829697068569,0.35699743531185574,1.0860331297621832,0.690334810001635,1.70854481311503,0.7210937257278606,
reponse_avant_surveillance,Europe,-0.15075838609357337,0.14409014065099848,-1.0462782908840798,0.8600554749204168,0.6484503287016874,1.1407125375687375,0.2954325653975636,
langue_minoritaire_sur_la_fiche,Europe,0.0797938523295749,0.20673688173433635,0.38596815265943984,1.0830637735861246,0.7222362409001768,1.6241598956493586,0.699520255214499,
log_age_vague1,Europe,-0.6191338776083475,0.04489332807364858,-13.791222530720901,0.5384105651501573,0.4930606038568513,0.5879316546439662,2.878402794135183e-43,
log_rc,Europe,-0.26628254665353457,0.05851406119318467,-4.550744577006892,0.7662226032809432,0.6831997522214602,0.8593344418958705,5.345640938670754e-06,
log_burst,Europe,-0.10665419204627191,0.6029579377376829,-0.17688496223541195,0.8988364440451089,0.2757032882239529,2.9303493561795895,0.8595987507616071,
log_ratio_pic_journalier_fiche,Europe,0.7740755678226582,0.10715683089439204,7.223763164343159,2.168586489158183,1.757780684386869,2.6754005222214543,5.056829632268568e-13,
etoiles_1,Europe,2.528665889393918,0.3496885292699663,7.23119484265879,12.536769537707263,6.317281455792182,24.879466197833942,4.787628688233045e-13,13.324095682458788
etoiles_2,Europe,1.3138303788319026,0.4715994155186079,2.7859033230291668,3.7203969844151077,1.4762609549314796,9.375953265855678,0.005337878899766112,3.9540429652137967
etoiles_3,Europe,-0.060908212122987665,0.4278210901103076,-0.14236841878759027,0.9409095999071786,0.40680466774837476,2.176255449814769,0.8867890064136854,1.0
etoiles_4,Europe,-0.19251123164313247,0.27672995694555147,-0.6956645885685965,0.8248850533370292,0.4795572576166229,1.4188823970688411,0.4866389069908694,0.876688954410078
profil_aucun_niveau,Europe,1.3152130922989145,0.20109572395084538,6.540234006270552,3.7255447855749115,2.5119835899219938,5.52538798621508,6.142264990514525e-11,
profil_niveau_sans_avis_declare,Europe,0.34621272340889214,0.1232116599311441,2.80990227387871,1.413703311621635,1.110402217135728,1.7998496602836738,0.004955654503924583,
texte_texte_1_50,Europe,-0.10423146217250213,0.16468858886604046,-0.6329003295868008,0.9010167219955416,0.6524536576835878,1.2442740166372008,0.5267987325711967,
texte_texte_51_200,Europe,-0.25464236615518715,0.1918378252904985,-1.327383511409099,0.775193683890236,0.532252331585576,1.1290232318065438,0.18438185121481732,
texte_texte_201p,Europe,-0.666304551202602,0.2888788454703624,-2.3065190187869318,0.5136030689765524,0.29156372564981986,0.9047357035729259,0.021081648672988406,
secteur_food_beverage,Europe,-0.10056224940198419,0.5144600534174207,-0.19547144376706418,0.9043288167325637,0.3299264838392304,2.4787661761989046,0.8450238910374994,
secteur_healthcare,Europe,-0.7142827027722136,0.5233462233810959,-1.3648377897093937,0.4895431338204899,0.17551645986944056,1.3654131358908084,0.1723040385356449,
secteur_home_services,Europe,0.2184680715080909,0.49665992544863713,0.4398745707351903,1.24416929154383,0.4700258927041494,3.293344579625135,0.6600279544519276,
secteur_hospitality,Europe,-0.03527016292217382,0.4538617076221547,-0.07771125505819639,0.9653445807122765,0.3966017050160153,2.3496877288334654,0.9380577409416685,
secteur_travel,Europe,0.9886624347667478,0.664392885784409,1.4880689663007047,2.6876371770294156,0.7308670623978043,9.883320739140133,0.13673270670011284,
secteur_wellness_fitness,Europe,1.306217381226019,0.45525541401203645,2.869196809137747,3.692181150893356,1.512756019963181,9.011500513707412,0.004115156519298292,
taille_large,Europe,0.9385694216067022,0.39765242761403896,2.36027585003876,2.5563217825470415,1.1725548318140735,5.57311340896054,0.018261350410456855,
taille_small,Europe,0.5710084585625892,0.41324954265583513,1.3817521851152772,1.7700511749388077,0.7874575915987622,3.978730023468579,0.1670478050367551,
etoiles_5,Europe,0.0,,,1.0,1.0,1.0,,1.0628013574297155
