jour_creation,avis_publies,J+1,J+2,J+3,J+4,J+5,J+6,J+7,J+8,J+9,J+10,J+11,J+12,supprimes,part_supprimee_pct
2026-08-11,2371,1,11,2,0,1,19,23,3,4,3,2,1,70,2.95
2026-08-12,2270,0,7,2,0,5,7,24,6,1,3,0,3,58,2.56
2026-08-13,2500,1,6,6,0,3,15,38,6,2,3,2,0,82,3.28
2026-08-14,2604,0,8,8,1,0,7,36,14,4,4,0,0,82,3.15
2026-08-15,2303,6,3,4,2,2,13,13,11,3,0,0,0,57,2.48
2026-08-16,2179,1,11,2,7,3,7,24,2,0,0,0,0,57,2.62
2026-08-17,2297,1,7,8,1,0,35,13,0,0,0,0,0,65,2.83
