rang,part_observee,part_attendue
2170,100.0,71.434
2180,100.0,71.556
2190,100.0,71.677
2200,100.0,71.798
2210,100.0,71.918
2220,100.0,72.038
2230,100.0,72.157
2240,100.0,72.276
2250,100.0,72.394
2260,100.0,72.512
2270,100.0,72.628
2280,100.0,72.745
2290,100.0,72.861
2300,100.0,72.976
2310,100.0,73.09
2320,100.0,73.204
2330,100.0,73.318
2340,100.0,73.432
2350,100.0,73.545
2360,100.0,73.657
2370,100.0,73.769
2380,100.0,73.881
2390,100.0,73.991
2400,100.0,74.102
2410,100.0,74.211
2420,100.0,74.321
2430,100.0,74.43
2440,100.0,74.538
2450,100.0,74.646
2460,100.0,74.753
2470,100.0,74.859
2480,100.0,74.965
2490,100.0,75.071
2500,100.0,75.176
2510,100.0,75.281
2520,100.0,75.385
2530,100.0,75.488
2540,100.0,75.592
2550,100.0,75.694
2560,100.0,75.796
2570,100.0,75.898
2580,100.0,76.0
2590,100.0,76.101
2600,100.0,76.202
2610,100.0,76.302
2620,100.0,76.402
2630,100.0,76.501
2640,100.0,76.6
2650,100.0,76.699
2660,100.0,76.797
2670,100.0,76.894
2680,100.0,76.991
2690,100.0,77.087
2700,100.0,77.183
2710,100.0,77.279
2720,100.0,77.374
2730,100.0,77.469
2740,100.0,77.563
2750,100.0,77.657
2760,100.0,77.751
2770,100.0,77.844
2780,100.0,77.936
2790,100.0,78.029
2800,100.0,78.12
2810,100.0,78.212
2820,100.0,78.303
2830,100.0,78.394
2840,100.0,78.484
2850,100.0,78.574
2860,100.0,78.664
2870,100.0,78.754
2880,100.0,78.844
2890,100.0,78.933
2900,100.0,79.021
2910,100.0,79.11
2920,100.0,79.198
2930,100.0,79.285
2940,100.0,79.373
2950,100.0,79.459
2960,100.0,79.546
2970,100.0,79.632
2980,100.0,79.718
2990,100.0,79.803
3000,100.0,79.888
3010,100.0,79.973
3020,100.0,80.058
3030,100.0,80.142
3040,100.0,80.226
3050,100.0,80.309
3060,100.0,80.392
3070,100.0,80.475
3080,100.0,80.557
3090,100.0,80.638
3100,100.0,80.72
3110,100.0,80.801
3120,100.0,80.882
3130,100.0,80.962
3140,100.0,81.042
3150,100.0,81.122
3160,100.0,81.201
3170,100.0,81.28
3180,100.0,81.359
3190,100.0,81.437
3200,100.0,81.515
3210,100.0,81.592
3220,100.0,81.669
3230,100.0,81.746
3240,100.0,81.823
3250,100.0,81.9
3260,100.0,81.976
3270,100.0,82.052
3280,100.0,82.128
3290,100.0,82.203
3300,100.0,82.278
3310,100.0,82.353
3320,100.0,82.427
3330,100.0,82.501
3340,100.0,82.575
3350,100.0,82.649
3360,100.0,82.722
3370,100.0,82.795
3380,100.0,82.868
3390,100.0,82.94
3400,100.0,83.012
3410,100.0,83.084
3420,100.0,83.156
3430,100.0,83.228
3440,100.0,83.299
3450,100.0,83.37
3460,100.0,83.44
3470,100.0,83.511
3480,100.0,83.581
3490,100.0,83.65
3500,100.0,83.72
3510,100.0,83.789
3520,100.0,83.858
3530,100.0,83.926
3540,100.0,83.995
3550,100.0,84.063
3560,100.0,84.131
3570,100.0,84.198
3580,100.0,84.266
3590,100.0,84.333
3600,100.0,84.4
3610,100.0,84.466
3620,100.0,84.533
3630,100.0,84.599
3640,100.0,84.665
3650,100.0,84.73
3660,100.0,84.796
3670,100.0,84.861
3680,100.0,84.926
3690,100.0,84.991
3700,100.0,85.055
3710,100.0,85.12
3720,100.0,85.184
3730,100.0,85.247
3740,100.0,85.311
3750,100.0,85.374
3760,100.0,85.437
3770,100.0,85.5
3780,100.0,85.562
3790,100.0,85.625
3800,100.0,85.687
3810,100.0,85.749
3820,100.0,85.81
3830,100.0,85.872
3840,100.0,85.933
3850,100.0,85.994
3860,100.0,86.054
3870,100.0,86.115
3880,100.0,86.175
3890,100.0,86.235
3900,100.0,86.295
3910,100.0,86.354
3920,100.0,86.413
3930,100.0,86.472
3940,100.0,86.531
3950,100.0,86.59
3960,100.0,86.648
3970,100.0,86.706
3980,100.0,86.765
3990,100.0,86.822
4000,100.0,86.88
4010,100.0,86.938
4020,100.0,86.995
4030,100.0,87.052
4040,100.0,87.109
4050,100.0,87.165
4060,100.0,87.221
4070,100.0,87.277
4080,100.0,87.333
4090,100.0,87.389
4100,100.0,87.445
4110,100.0,87.5
4120,100.0,87.555
4130,100.0,87.61
4140,100.0,87.665
4150,100.0,87.719
4160,100.0,87.773
4170,100.0,87.828
4180,100.0,87.882
4190,100.0,87.935
4200,100.0,87.989
4210,100.0,88.042
4220,100.0,88.096
4230,100.0,88.149
4240,100.0,88.202
4250,100.0,88.254
4260,100.0,88.307
4270,100.0,88.359
4280,100.0,88.411
4290,100.0,88.463
4300,100.0,88.515
4310,100.0,88.567
4320,100.0,88.618
4330,100.0,88.669
4340,100.0,88.72
4350,100.0,88.771
4360,100.0,88.821
4370,100.0,88.872
4380,100.0,88.922
4390,100.0,88.972
4400,100.0,89.021
4410,100.0,89.071
4420,100.0,89.121
4430,100.0,89.17
4440,100.0,89.219
4450,100.0,89.268
4460,100.0,89.317
4470,100.0,89.366
4480,100.0,89.414
4490,100.0,89.463
4500,100.0,89.511
4510,100.0,89.559
4520,100.0,89.607
4530,100.0,89.655
4540,100.0,89.703
4550,100.0,89.75
4560,100.0,89.798
4570,100.0,89.845
4580,100.0,89.893
4590,100.0,89.94
4600,100.0,89.987
4610,100.0,90.034
4620,100.0,90.08
4630,100.0,90.127
4640,100.0,90.173
4650,100.0,90.219
4660,100.0,90.266
4670,100.0,90.312
4680,100.0,90.357
4690,100.0,90.403
4700,100.0,90.448
4710,100.0,90.493
4720,100.0,90.539
4730,100.0,90.584
4740,100.0,90.628
4750,100.0,90.673
4760,100.0,90.718
4770,100.0,90.762
4780,100.0,90.807
4790,100.0,90.851
4800,100.0,90.895
4810,100.0,90.939
4820,100.0,90.983
4830,100.0,91.027
4840,100.0,91.07
4850,100.0,91.114
4860,100.0,91.157
4870,100.0,91.2
4880,100.0,91.243
4890,100.0,91.286
4900,100.0,91.329
4910,100.0,91.371
4920,100.0,91.413
4930,100.0,91.456
4940,100.0,91.498
4950,100.0,91.539
4960,100.0,91.581
4970,100.0,91.623
4980,100.0,91.664
4990,100.0,91.705
5000,100.0,91.746
5010,100.0,91.787
5020,100.0,91.828
5030,100.0,91.869
5040,100.0,91.909
5050,100.0,91.95
5060,100.0,91.99
5070,100.0,92.03
5080,100.0,92.07
5090,100.0,92.11
5100,100.0,92.15
5110,100.0,92.19
5120,100.0,92.229
5130,100.0,92.268
5140,100.0,92.308
5150,100.0,92.347
5160,100.0,92.386
5170,100.0,92.425
5180,100.0,92.463
5190,100.0,92.502
5200,100.0,92.54
5210,100.0,92.578
5220,100.0,92.616
5230,100.0,92.654
5240,100.0,92.692
5250,100.0,92.73
5260,100.0,92.767
5270,100.0,92.805
5280,100.0,92.842
5290,100.0,92.879
5300,100.0,92.916
5310,100.0,92.953
5320,100.0,92.99
5330,100.0,93.027
5340,100.0,93.064
5350,100.0,93.1
5360,100.0,93.137
5370,100.0,93.173
5380,100.0,93.209
5390,100.0,93.245
5400,100.0,93.281
5410,100.0,93.316
5420,100.0,93.352
5430,100.0,93.388
5440,100.0,93.423
5450,100.0,93.458
5460,100.0,93.493
5470,100.0,93.528
5480,100.0,93.563
5490,100.0,93.598
5500,100.0,93.632
5510,100.0,93.667
5520,100.0,93.701
5530,100.0,93.735
5540,100.0,93.769
5550,100.0,93.803
5560,100.0,93.837
5570,100.0,93.871
5580,100.0,93.905
5590,100.0,93.938
5600,100.0,93.972
5610,100.0,94.005
5620,100.0,94.038
5630,100.0,94.071
5640,100.0,94.104
5650,100.0,94.137
5660,100.0,94.17
5670,100.0,94.202
5680,100.0,94.235
5690,100.0,94.267
5700,100.0,94.3
5710,100.0,94.332
5720,100.0,94.364
5730,100.0,94.396
5740,100.0,94.428
5750,100.0,94.46
5760,100.0,94.492
5770,100.0,94.524
5780,100.0,94.555
5790,100.0,94.587
5800,100.0,94.618
5810,100.0,94.649
5820,100.0,94.68
5830,100.0,94.711
5840,100.0,94.742
5850,100.0,94.773
5860,100.0,94.804
5870,100.0,94.834
5880,100.0,94.865
5890,100.0,94.895
5900,100.0,94.925
5910,100.0,94.955
5920,100.0,94.985
5930,100.0,95.015
5940,100.0,95.045
5950,100.0,95.075
5960,100.0,95.104
5970,100.0,95.133
5980,100.0,95.163
5990,100.0,95.192
6000,100.0,95.221
6010,100.0,95.25
6020,100.0,95.279
