risque_prevu,risque_observe,avis
0.00106263173822864,0.00032102728731942215,3115
0.0019204707312575951,0.0003211303789338471,3114
0.0029265908945654566,0.0016056518946692357,3114
0.004131560015597276,0.002569043031470777,3114
0.00589064821390783,0.0038535645472061657,3114
0.008602638872618402,0.004174694926140013,3114
0.011519987626969203,0.010918432883750802,3114
0.015557098386930637,0.018625561978163133,3114
0.024326733380499052,0.028580603725112397,3114
0.07891317749684698,0.07193320488118175,3114
