variable,modele,coefficient,risque_relatif,borne_basse,borne_haute,p_value
const,complet,-8.60431809727236,0.0001833125208892386,8.808050660623957e-05,0.00038150870844772303,7.570580019491703e-51
has_photo,complet,-0.21633163497855318,0.8054681361671185,0.6308832914065974,1.0283659865742125,0.08264157629748126
has_reply,complet,-0.38758671317484683,0.6786927800940282,0.5208062494961183,0.8844438602597724,0.004119088672491069
langue_etrangere_au_pays,complet,0.7570285256749263,2.1319318183899227,1.639173466719361,2.7728201868469635,1.6504542288998682e-08
langue_minoritaire_sur_la_fiche,complet,-0.3622193338090406,0.6961296663247792,0.481755154179353,1.00589792996182,0.0537740231830414
log_rc,complet,-0.12738221387753362,0.8803971082889511,0.8300537269449018,0.933793853485098,2.2348295024912507e-05
log_burst,complet,2.2351617889213906,9.347994131746036,4.594449016726059,19.019689623072082,6.938954405776204e-10
log_ratio_pic_journalier_fiche,complet,0.2746568448057154,1.3160789780335957,1.1031736930253295,1.570073586211038,0.002284215458841235
etoiles_1,complet,1.6960754058099534,5.4525064705745,3.6821045972693316,8.074139673735663,2.5080839371983185e-17
etoiles_2,complet,0.8744609374680978,2.397582498657477,1.480719327052555,3.882168438573101,0.00037607346555750427
etoiles_3,complet,-0.1677084901612064,0.8456002995664549,0.5425708898764228,1.3178736271489564,0.4588299273834624
etoiles_4,complet,-0.3439600883154937,0.7089572231618735,0.5341051032139625,0.9410513796795623,0.017291527623491277
age_4-7j,complet,1.0141817949310248,2.757106595646614,2.0797366739190335,3.6550957989472863,1.7855691161539695e-12
age_8-14j,complet,0.19664124338580882,1.2173072453332126,0.9251759522935332,1.6016812000649447,0.16017296088677235
age_15-30j,complet,-0.8253106604786913,0.438098871317236,0.3233060877839451,0.5936498825772099,1.0167940128938343e-07
age_31-60j,complet,-1.9248656156075257,0.1458953615984454,0.09707882815718838,0.21925951250128498,2.0230542741148763e-20
age_61-90j,complet,-2.6475892385862063,0.07082174174811404,0.049083488674891027,0.10218750214473613,1.7842779740722106e-45
age_90j+,complet,-3.3051899676495107,0.03669224083552838,0.01936520438486776,0.06952266089091472,3.808333164939141e-24
profil_compte_vierge,complet,0.5939069636487565,1.811050318876732,1.4924903722190968,2.1976042985301243,1.7777929005004677e-09
profil_guide_sans_avis_declare,complet,0.18261460937243149,1.2003517146270943,0.9903474276827574,1.4548876470346703,0.06272833664489674
profil_sans_statut_guide,complet,1.357470650143449,3.8863509184889367,1.7952342903500969,8.413232491617768,0.0005713354022093706
texte_texte_1_50,complet,-0.37052133679336485,0.6903743192680936,0.5387063792592545,0.8847430048262155,0.0034168466087152846
texte_texte_51_200,complet,-0.5216555532679134,0.5935371018325178,0.4653477741068782,0.7570387371635601,2.644819434181921e-05
texte_texte_201p,complet,-0.6848402909760077,0.504170743762645,0.37578299718163505,0.6764226715220875,4.947007424259959e-06
secteur_food_beverage,complet,-0.42741217883778526,0.6521946759756032,0.3287513485379344,1.293859013088855,0.22138107180781397
secteur_healthcare,complet,0.38290467373588083,1.4665382237948372,0.8747703928224588,2.4586272917993277,0.14637618847211342
secteur_home_services,complet,1.672200614989268,5.323870705335891,3.37449667153032,8.399356125095828,6.569186066797857e-13
secteur_hospitality,complet,-0.1880618121032183,0.8285634903977954,0.4826625015182922,1.422355073080314,0.49517099684143673
secteur_travel,complet,0.9056663057136998,2.4735795342671065,1.0194025222168854,6.002139075582255,0.0452360749686839
secteur_wellness_fitness,complet,1.0314083693577631,2.805013549257329,1.6285195888866117,4.831443886343716,0.0002009391507089275
taille_mono,complet,-0.5929467154432512,0.5526962442502675,0.3418275505102189,0.8936469221172954,0.015579328062833553
taille_small,complet,-0.12092771301389396,0.8860980106324026,0.6222599090209543,1.2618034250062238,0.5025165200490895
const,hors fiches attaquees,-8.451693495023074,0.00021353848263094662,9.933801132981914e-05,0.0004590255326627347,2.27375163243459e-44
has_photo,hors fiches attaquees,-0.253427945144432,0.77613566725378,0.6007095005876609,1.0027918209952877,0.052545522782118784
has_reply,hors fiches attaquees,-0.4552827403561446,0.6342686092609797,0.48349224555556103,0.8320643658547096,0.0010109735863830071
langue_etrangere_au_pays,hors fiches attaquees,0.7374238958391508,2.0905431149681695,1.5504476372856528,2.818779822317614,1.3261262085834076e-06
langue_minoritaire_sur_la_fiche,hors fiches attaquees,-0.35363564682660353,0.7021307443208225,0.48330479727137454,1.0200345308049998,0.06347307697253907
log_rc,hors fiches attaquees,-0.10976189533845654,0.8960474629762617,0.8432265546935067,0.9521771479291602,0.0003989544250617809
log_burst,hors fiches attaquees,2.906117097505423,18.28565911123513,9.035007622244812,37.007752855577664,6.521927892478618e-16
log_ratio_pic_journalier_fiche,hors fiches attaquees,-0.02422213228740916,0.9760688692645649,0.8533302892889124,1.1164615266865874,0.7238871474876589
