cid,n_avis,n_supprimes,part_perdue,part_1_etoile,part_avis_recents
3163466139043001754,780,229,0.2935897435897436,0.982532751091703,0.9912663755458515
10346942689164695031,668,135,0.20209580838323354,0.9333333333333333,1.0
12466888218085323989,1491,11,0.007377598926894702,1.0,0.9090909090909091
1320861146435177408,9545,10,0.0010476689366160294,0.8,0.9
