risque_prevu,risque_observe,lignes
2.9769100748647776e-05,4.322330600659876e-05,69407
5.779556060298887e-05,0.0,69390
8.824763329508167e-05,4.3224551545277716e-05,69405
0.00012834615985271564,0.00014405485608919876,69418
0.00019071318026329828,0.00012971664120377043,69382
0.00028814424418296,0.0001585128611571439,69395
0.00043168141226206314,0.00044666013486254397,69404
0.0006830143601146754,0.000778221331911398,69389
0.0013422491434418402,0.001311295877343401,69397
0.006192562917399897,0.005763854866134471,69398
