review_id,cid,enseigne,pays,star,caracteres,publie,vu_le,ecart_j
Ci9DQUlRQUNvZENodHljRjlvT25KR2JTMHdhR3BOWms1eVRFbE9iVGw0WWtwRmNuYxAB,8303557791751296465,Insight Pest Solutions,US,5,72,04/08 22:32,18/08 06:11,14
Ci9DQUlRQUNvZENodHljRjlvT205TVpVcEVZMGx5YlZOWFZXcFpORlpKZW1wZlpHYxAB,10801697147326302356,Empire Today,US,1,2181,10/08 17:30,23/08 06:12,13
