date_publication,avis,suppressions,suppressions_pour_10000_avis
2026-08-10,1350,64,474.1
2026-08-11,1483,85,573.2
2026-08-12,1458,94,644.7
2026-08-13,1585,87,548.9
2026-08-14,1605,80,498.4
2026-08-15,1410,57,404.3
2026-08-16,1057,42,397.4
