variable,risque_relatif,borne_basse,borne_haute,coefficient,p_value
const,0.0005794958850738984,8.725545196822138e-05,0.003848647542847934,-7.453351996031252,1.2030816246851549e-14
etoiles_1,2.965246429099683,1.6336479168509652,5.382240747588552,1.086960141677196,0.000352061012384442
etoiles_2,1.841890445827836,0.8173850621236483,4.150504543865352,0.6107924604008693,0.14061472110576076
etoiles_4,0.9752162702860814,0.4938410072772629,1.92581571764197,-0.025096016903717835,0.9423736095421205
etoiles_5,1.0,1.0,1.0,0.0,
has_photo,0.9633084801694993,0.5034368425072835,1.8432564914099334,-0.03738158600857986,0.9101049362279052
texte_sans_texte,1.0,1.0,1.0,0.0,
texte_1_50,2.226325418240994,1.1092322516825266,4.468428375020368,0.8003524318546633,0.024346877961534143
texte_51_200,2.491638490730497,1.180762433264703,5.257842046451678,0.9129405224766759,0.01657234897711777
texte_201p,2.1777589268505797,1.2452018273169865,3.8087270990408486,0.7782963328247894,0.0063552446886481545
log_rc,0.8088764185605269,0.6474370422249424,1.0105709402335747,-0.21210913186119523,0.061847568081710665
log_photos_auteur,0.8462599892852438,0.7144892484946364,1.0023327446479233,-0.16692865064778034,0.053238295844154744
guide_1_3,1.0,1.0,1.0,0.0,
guide_sans_niveau,2.9059608998037807,1.6644679787326988,5.07345822153815,1.0667641100691965,0.00017544820349488837
guide_4_et_plus,1.7912010005327639,1.0215868151484948,3.1406053570133547,0.5828863448846348,0.041900305624290514
log_burst,26.63404150470048,2.5321891486327504,280.1418556181444,3.2821901534139677,0.006260374186093916
log_ratio_pic_journalier_fiche,1.347618577388651,0.9554867524452597,1.9006813286268514,0.29833901799149154,0.08904947793631492
