date_publication,avis,suppressions,suppressions_pour_10000_avis
2026-08-10,1221,37,303.0
2026-08-11,1272,36,283.0
2026-08-12,1257,41,326.2
2026-08-13,1359,51,375.3
2026-08-14,1401,51,364.0
2026-08-15,1274,40,314.0
2026-08-16,1016,37,364.2
