groupe,avis,annoncees,constatees
1,988,12.8,12
2,987,24.8,21
3,987,33.1,46
4,987,39.7,63
5,987,45.3,53
6,987,50.2,50
7,987,54.8,55
8,987,59.8,61
9,987,68.2,59
10,988,97.2,64
