caracteristique,valeur,avis,suppressions,suppressions_pour_10000_avis
etoiles,etoiles_1,559,54,966.0
etoiles,etoiles_2,144,6,416.7
etoiles,etoiles_3,175,3,171.4
etoiles,etoiles_4,467,10,214.1
etoiles,etoiles_5,7455,220,295.1
has_photo,0,8104,278,343.0
has_photo,1,696,15,215.5
texte,texte_1_50,1461,42,287.5
texte,texte_201p,2173,99,455.6
texte,texte_51_200,3171,87,274.4
texte,texte_sans_texte,1995,65,325.8
avis_auteur,0,1581,84,531.3
avis_auteur,1_5,3614,112,309.9
avis_auteur,6_20,2181,74,339.3
avis_auteur,21_100,1055,16,151.7
avis_auteur,plus_de_100,369,7,189.7
photos_auteur,0,5596,208,371.7
photos_auteur,1_10,2179,70,321.2
photos_auteur,11_100,689,12,174.2
photos_auteur,plus_de_100,336,3,89.3
profil,guide_1_3,5599,182,325.1
profil,guide_4_et_plus,2393,54,225.7
profil,guide_sans_niveau,808,57,705.4
rafale,1,8745,287,328.2
rafale,2,42,3,714.3
rafale,3,9,3,3333.3
rafale,4_et_plus,4,0,0.0
pic_fiche,jusqu_a_1x,532,24,451.1
pic_fiche,1x_3x,3054,100,327.4
pic_fiche,3x_10x,3556,132,371.2
pic_fiche,plus_de_10x,1658,37,223.2
