variable,risque_relatif,borne_basse,borne_haute,coefficient,p_value
const,0.006086884132957406,0.0023215747476184466,0.015959063340974047,-5.10161896481541,3.270619307118051e-25
etoiles_1,1.9869226333242633,1.2430814673458181,3.175867112913809,0.6865870263870091,0.004113750502126383
etoiles_2,1.0468484707102834,0.42211470343639057,2.5961941427458513,0.04578419429912274,0.9212979006920162
etoiles_4,0.6348919340381451,0.397153672977152,1.0149415587298014,-0.4543004771892444,0.05769581058872744
etoiles_5,1.0,1.0,1.0,0.0,
has_photo,0.6029887378740937,0.3447035258190194,1.0548062052428555,-0.5058567592550809,0.07623613552146428
texte_sans_texte,1.0,1.0,1.0,0.0,
texte_1_50,0.9679854871771267,0.7109473231771707,1.3179540492510395,-0.03253818440356282,0.8362892731310525
texte_51_200,0.9152439958412768,0.6702818285325518,1.2497303914047944,-0.08856458713302584,0.577347321576949
texte_201p,1.197191580618263,0.8400441437155096,1.7061813851399776,0.17997846441092225,0.3194022292871158
log_rc,1.09535330016921,0.9258153599388684,1.2959375099056492,0.09107695978496824,0.2884398808513987
log_photos_auteur,0.8159494731196324,0.7285160917243391,0.9138762345089361,-0.20340284613169346,0.0004359330910609855
guide_1_3,1.0,1.0,1.0,0.0,
guide_sans_niveau,1.5891023107962787,1.1361735736194656,2.2225883551696164,0.4631692723894954,0.006814580983153429
guide_4_et_plus,0.7153845685349439,0.4612830024295282,1.1094600889312274,-0.3349350227911167,0.13465184641894434
log_burst,44.4220220414759,14.184924751745863,139.1136066485299,3.7937353383999746,7.339288279419203e-11
log_ratio_pic_journalier_fiche,0.7180330918902357,0.5863180530248905,0.87933761955572,-0.3312396220123623,0.001357261557766885
