caracteristique,valeur,avis,suppressions,suppressions_pour_10000_avis
etoiles,etoiles_1,621,61,982.3
etoiles,etoiles_2,146,7,479.5
etoiles,etoiles_3,182,4,219.8
etoiles,etoiles_4,502,16,318.7
etoiles,etoiles_5,8497,421,495.5
has_photo,0,9238,492,532.6
has_photo,1,710,17,239.4
texte,texte_1_50,1638,80,488.4
texte,texte_201p,2401,141,587.3
texte,texte_51_200,3578,162,452.8
texte,texte_sans_texte,2331,126,540.5
avis_auteur,0,1771,115,649.4
avis_auteur,1_5,4165,206,494.6
avis_auteur,6_20,2511,156,621.3
avis_auteur,21_100,1124,23,204.6
avis_auteur,plus_de_100,377,9,238.7
photos_auteur,0,6453,370,573.4
photos_auteur,1_10,2430,121,497.9
photos_auteur,11_100,721,14,194.2
photos_auteur,plus_de_100,344,4,116.3
profil,guide_1_3,6488,352,542.5
profil,guide_4_et_plus,2564,87,339.3
profil,guide_sans_niveau,896,70,781.2
rafale,1,9875,486,492.2
rafale,2,52,12,2307.7
rafale,3,9,3,3333.3
rafale,4_et_plus,12,8,6666.7
pic_fiche,jusqu_a_1x,665,42,631.6
pic_fiche,1x_3x,3783,207,547.2
pic_fiche,3x_10x,3835,220,573.7
pic_fiche,plus_de_10x,1665,40,240.2
