variable,risque_relatif,borne_basse,borne_haute,coefficient,p_value
const,0.013136011981293527,0.003073011315861294,0.05615170041257201,-4.332397814176445,5.059085975016588e-09
etoiles_1,3.2022126937636246,1.9081988405748562,5.373740890132687,1.1638420376537908,1.0512773342457758e-05
etoiles_2,1.4087232821736837,0.5159623631517805,3.8462132656649146,0.34268382056551033,0.5036855093452373
etoiles_4,0.7395184936469377,0.4057021322097747,1.3480027809246486,-0.3017559888316963,0.32457784209486173
etoiles_5,1.0,1.0,1.0,0.0,
has_photo,0.7378982264759033,0.4018579472392982,1.3549409595526762,-0.3039493683955611,0.3269426033102387
texte_sans_texte,1.0,1.0,1.0,0.0,
texte_1_50,0.8805006099951789,0.544397412255728,1.4241091282735514,-0.1272646582634031,0.6039156712952887
texte_51_200,0.8659430090594024,0.5326145376722659,1.407879886673808,-0.1439361819854637,0.5616129032754005
texte_201p,1.3185391904787815,0.8340188693777931,2.084539883522606,0.2765244499028641,0.23669155599086633
log_rc,0.9634000048023386,0.7796844524892911,1.1904041003894377,-0.03728657980123513,0.729790744417997
log_photos_auteur,0.8896158166890806,0.7723911942241194,1.0246314396403386,-0.11696557609229903,0.10470933335423616
guide_1_3,1.0,1.0,1.0,0.0,
guide_sans_niveau,2.169853372274777,1.4673544496915103,3.2086750806269513,0.7746595948891002,0.00010395843311711423
guide_4_et_plus,0.8525974206908763,0.5174404955839658,1.4048424272405569,-0.15946779988328744,0.5314053596859414
log_burst,7.105161367226506,1.3007038616436877,38.81230735375285,1.9608214730753222,0.023608265587299133
log_ratio_pic_journalier_fiche,0.758133906823766,0.6009263335462388,0.9564683532572145,-0.2768952508631194,0.019525556510373295
