groupe,avis,annoncees,constatees
1,874,8.5,18
2,874,12.7,32
3,874,16.2,24
4,874,19.6,23
5,874,22.6,28
6,874,25.5,24
7,874,28.6,20
8,874,32.9,23
9,874,41.9,26
10,874,79.1,65
