caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8890,217,244.1
reponse_au_jalon,1,7532,119,158.0
has_photo,0,14900,314,210.7
has_photo,1,1522,22,144.5
langue_minoritaire_sur_la_fiche,0,14859,319,214.7
langue_minoritaire_sur_la_fiche,1,1563,17,108.8
star,1,1142,45,394.0
star,2,426,7,164.3
star,3,603,3,49.8
star,4,1484,11,74.1
star,5,12767,270,211.5
bucket,large,6761,82,121.3
bucket,mono,4046,66,163.1
bucket,small,5615,188,334.8
secteur,automotive,2350,56,238.3
secteur,food_beverage,3465,29,83.7
secteur,healthcare,2054,63,306.7
secteur,home_services,1968,88,447.2
secteur,hospitality,3673,29,79.0
secteur,travel,1225,28,228.6
secteur,wellness_fitness,1687,43,254.9
palier_local_guide,1_3,9507,200,210.4
palier_local_guide,4_et_plus,5580,59,105.7
palier_local_guide,sans_niveau,1335,77,576.8
taille_texte,sans_texte,4340,74,170.5
taille_texte,texte_1_50,2397,41,171.0
taille_texte,texte_51_200,5208,115,220.8
taille_texte,texte_201p,4477,106,236.8
habitude_reponse_fiche,habitude_25_75,3100,68,219.4
habitude_reponse_fiche,habitude_historique_insuffisant,290,1,34.5
habitude_reponse_fiche,habitude_moins_de_25,4701,98,208.5
habitude_reponse_fiche,habitude_plus_de_75,8331,169,202.9
region,Europe,7669,90,117.4
region,US,8753,246,281.0
n_avis_meme_jour_auteur,1,16302,332,203.7
n_avis_meme_jour_auteur,2,106,3,283.0
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,4,0,0.0
