variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value
const,jalon2_fenetre6_reponse_par_habitude,-7.3551303760124656,0.6324387444688453,-11.629790932858935,0.0006393040622396222,0.00018508645132131368,0.002208209628950934,2.908089368212297e-31
has_photo,jalon2_fenetre6_reponse_par_habitude,-0.18870921182577377,0.23033056620593853,-0.8192973035851824,0.8280272522229444,0.5272139549924523,1.300476066559534,0.4126168106268546
langue_minoritaire_sur_la_fiche,jalon2_fenetre6_reponse_par_habitude,0.08263903817367584,0.3065392937121688,0.2695870965608455,1.086149679208766,0.595611340822602,1.9806894946224256,0.7874779283739103
log_rc,jalon2_fenetre6_reponse_par_habitude,0.0089285864632929,0.07419399594992727,0.1203410916069099,1.0089685651873244,0.8724159399291485,1.1668947332838095,0.9042129542219464
log_photos_auteur,jalon2_fenetre6_reponse_par_habitude,-0.1464300980607913,0.05164742583978212,-2.835186762551127,0.8637861105486495,0.7806275022984842,0.9558034306757892,0.004579890301759854
log_burst,jalon2_fenetre6_reponse_par_habitude,3.6970536153562024,0.517233428064622,7.14774686777263,40.32830643653203,14.633226412879035,111.14242711418876,8.82137848938343e-13
log_ratio_pic_journalier_fiche,jalon2_fenetre6_reponse_par_habitude,0.02219077851488301,0.11870672233974802,0.18693784208253386,1.022438825225689,0.8102032620497901,1.2902702325390596,0.8517093684669044
etoiles_1,jalon2_fenetre6_reponse_par_habitude,0.8176394759445843,0.23461799508065795,3.4849819412338463,2.265146588770057,1.430174772680618,3.5875958425694017,0.0004921702569272739
etoiles_2,jalon2_fenetre6_reponse_par_habitude,0.27074389559963785,0.4153808217076125,0.6517968125890393,1.3109392900682209,0.5807775006245893,2.959070935765189,0.5145322581414182
etoiles_3,jalon2_fenetre6_reponse_par_habitude,-0.6630072865826835,0.477134468121412,-1.389560660316777,0.5152993492101472,0.2022655866247221,1.3127958330799219,0.16466232868660235
etoiles_4,jalon2_fenetre6_reponse_par_habitude,-0.504379580523893,0.27397079997502427,-1.8409975828441325,0.6038801182147806,0.35297696423932656,1.0331303006159969,0.0656219129229943
guide_4_et_plus,jalon2_fenetre6_reponse_par_habitude,-0.16324366140036936,0.19820250466589914,-0.8236205777295383,0.8493842010543188,0.5759620924382034,1.252605910133036,0.41015517992447637
guide_sans_niveau,jalon2_fenetre6_reponse_par_habitude,0.7155423628614885,0.1599526829024788,4.473462713330954,2.0452956739077206,1.4948724196016814,2.798388905201882,7.696298380107501e-06
habitude_25_75,jalon2_fenetre6_reponse_par_habitude,-0.23955271488371047,0.2852512445002052,-0.8397955118598549,0.7869797867005489,0.44994277064521204,1.3764799105164423,0.40102305033668195
habitude_plus_de_75,jalon2_fenetre6_reponse_par_habitude,-0.013628668282292844,0.29388831998026255,-0.046373630238888505,0.9864637815513523,0.5545273271381912,1.7548473171459946,0.9630124539156
texte_texte_1_50,jalon2_fenetre6_reponse_par_habitude,0.024157233740324094,0.14918126709746216,0.16193208577952245,1.0244513835506275,0.7647298254058258,1.3723809408137668,0.8713593354656933
texte_texte_51_200,jalon2_fenetre6_reponse_par_habitude,0.06190258082328426,0.16590802992646927,0.3731138321075815,1.063858699440955,0.7685334561652591,1.4726689167489255,0.7090637243126938
texte_texte_201p,jalon2_fenetre6_reponse_par_habitude,0.2776103426539862,0.17382082677625907,1.5971063295615564,1.3199717602956134,0.9388756679023028,1.855757378259378,0.11024200751939146
secteur_food_beverage,jalon2_fenetre6_reponse_par_habitude,-0.6272219913409828,0.5356140134349583,-1.1710335719533014,0.5340734026400648,0.1869327846177734,1.5258661020364264,0.24158528295807902
secteur_healthcare,jalon2_fenetre6_reponse_par_habitude,0.3325409511722504,0.3654282520427305,0.9100033982412654,1.3945070047121964,0.6813458390228231,2.854130273959509,0.36282071763519375
secteur_home_services,jalon2_fenetre6_reponse_par_habitude,1.3992173945974145,0.35108152876790066,3.9854486207459647,4.0520275869647895,2.0362507363915143,8.063313261027984,6.735275066127874e-05
secteur_hospitality,jalon2_fenetre6_reponse_par_habitude,-0.46914415676035054,0.41302554860759955,-1.1358720019668014,0.6255374012110617,0.2784102992632343,1.4054689835447542,0.25601013746551826
secteur_travel,jalon2_fenetre6_reponse_par_habitude,0.7534435322622279,0.5331370423545619,1.4132267548596849,2.124302540491246,0.7471525711103152,6.039812292730877,0.1575890622082664
secteur_wellness_fitness,jalon2_fenetre6_reponse_par_habitude,0.18313047910496408,0.44254450434726733,0.4138125709527747,1.2009710994922804,0.5044730746538403,2.859085359125256,0.679011376834378
taille_large,jalon2_fenetre6_reponse_par_habitude,0.5296692214236584,0.270621032393034,1.957235979553866,1.698370431141844,0.9992620169178266,2.886592377716819,0.05031973049208318
taille_small,jalon2_fenetre6_reponse_par_habitude,0.8092156703979749,0.28943464880469616,2.79584933503941,2.2461455771452243,1.2737103580879165,3.961002532241962,0.005176352558248261
region_US,jalon2_fenetre6_reponse_par_habitude,0.6487558208600395,0.23290849663865493,2.7854536447699862,1.913159035069113,1.211989901788704,3.019973588942235,0.0053452882203344826
reponse_si_habitude_plus_de_75,jalon2_fenetre6_reponse_par_habitude,-0.285070552490172,0.23349258047372412,-1.2208976915317964,0.7519611997126849,0.4758238287735721,1.1883508384411243,0.22212475864438186
reponse_si_habitude_25_75,jalon2_fenetre6_reponse_par_habitude,0.5718726063947273,0.3328624512389059,1.7180448087978426,1.7715814219089794,0.9226310903163232,3.4016854270291383,0.08578844246687231
reponse_si_habitude_moins_de_25,jalon2_fenetre6_reponse_par_habitude,-0.6028060530425527,0.39800987200043164,-1.5145505060284008,0.5472738001664362,0.25085227281090366,1.1939641167787491,0.1298862743008605
