caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,10905,311,285.2
reponse_au_jalon,1,5617,125,222.5
has_photo,0,14996,410,273.4
has_photo,1,1526,26,170.4
langue_minoritaire_sur_la_fiche,0,14946,406,271.6
langue_minoritaire_sur_la_fiche,1,1576,30,190.4
star,1,1178,81,687.6
star,2,432,13,300.9
star,3,606,6,99.0
star,4,1496,23,153.7
star,5,12810,313,244.3
bucket,large,6804,125,183.7
bucket,mono,4069,89,218.7
bucket,small,5649,222,393.0
secteur,automotive,2362,68,287.9
secteur,food_beverage,3487,51,146.3
secteur,healthcare,2062,71,344.3
secteur,home_services,1983,103,519.4
secteur,hospitality,3701,57,154.0
secteur,travel,1227,30,244.5
secteur,wellness_fitness,1700,56,329.4
palier_local_guide,1_3,9557,250,261.6
palier_local_guide,4_et_plus,5617,96,170.9
palier_local_guide,sans_niveau,1348,90,667.7
taille_texte,sans_texte,4353,87,199.9
taille_texte,texte_1_50,2417,61,252.4
taille_texte,texte_51_200,5226,133,254.5
taille_texte,texte_201p,4526,155,342.5
habitude_reponse_fiche,habitude_25_75,3114,82,263.3
habitude_reponse_fiche,habitude_historique_insuffisant,292,3,102.7
habitude_reponse_fiche,habitude_moins_de_25,4729,126,266.4
habitude_reponse_fiche,habitude_plus_de_75,8387,225,268.3
region,Europe,7727,148,191.5
region,US,8795,288,327.5
n_avis_meme_jour_auteur,1,16395,425,259.2
n_avis_meme_jour_auteur,2,111,8,720.7
n_avis_meme_jour_auteur,3,12,3,2500.0
n_avis_meme_jour_auteur,4,4,0,0.0
