caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8389,136,162.1
reponse_au_jalon,1,7932,99,124.8
has_photo,0,14807,221,149.3
has_photo,1,1514,14,92.5
langue_minoritaire_sur_la_fiche,0,14765,225,152.4
langue_minoritaire_sur_la_fiche,1,1556,10,64.3
star,1,1128,31,274.8
star,2,423,4,94.6
star,3,601,1,16.6
star,4,1481,8,54.0
star,5,12688,191,150.5
bucket,large,6742,63,93.4
bucket,mono,4019,39,97.0
bucket,small,5560,133,239.2
secteur,automotive,2338,44,188.2
secteur,food_beverage,3450,14,40.6
secteur,healthcare,2031,40,196.9
secteur,home_services,1955,75,383.6
secteur,hospitality,3665,21,57.3
secteur,travel,1212,15,123.8
secteur,wellness_fitness,1670,26,155.7
palier_local_guide,1_3,9444,137,145.1
palier_local_guide,4_et_plus,5562,41,73.7
palier_local_guide,sans_niveau,1315,57,433.5
taille_texte,sans_texte,4316,50,115.8
taille_texte,texte_1_50,2386,30,125.7
taille_texte,texte_51_200,5181,88,169.9
taille_texte,texte_201p,4438,67,151.0
habitude_reponse_fiche,habitude_25_75,3084,52,168.6
habitude_reponse_fiche,habitude_historique_insuffisant,290,1,34.5
habitude_reponse_fiche,habitude_moins_de_25,4654,51,109.6
habitude_reponse_fiche,habitude_plus_de_75,8293,131,158.0
region,Europe,7649,70,91.5
region,US,8672,165,190.3
n_avis_meme_jour_auteur,1,16205,235,145.0
n_avis_meme_jour_auteur,2,103,0,0.0
n_avis_meme_jour_auteur,3,9,0,0.0
n_avis_meme_jour_auteur,4,4,0,0.0
