habitude_reponse_fiche,reponse_au_jalon,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
habitude_25_75,0,2431,45,185.1
habitude_25_75,1,697,30,430.4
habitude_historique_insuffisant,0,231,3,129.9
habitude_historique_insuffisant,1,61,0,0.0
habitude_moins_de_25,0,5233,195,372.6
habitude_moins_de_25,1,182,10,549.5
habitude_plus_de_75,0,2730,103,377.3
habitude_plus_de_75,1,6050,211,348.8
