caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8621,203,235.5
reponse_au_jalon,1,7785,117,150.3
has_photo,0,14884,298,200.2
has_photo,1,1522,22,144.5
langue_minoritaire_sur_la_fiche,0,14845,305,205.5
langue_minoritaire_sur_la_fiche,1,1561,15,96.1
star,1,1137,40,351.8
star,2,425,6,141.2
star,3,602,2,33.2
star,4,1483,10,67.4
star,5,12759,262,205.3
bucket,large,6759,80,118.4
bucket,mono,4041,61,151.0
bucket,small,5606,179,319.3
secteur,automotive,2348,54,230.0
secteur,food_beverage,3462,26,75.1
secteur,healthcare,2053,62,302.0
secteur,home_services,1966,86,437.4
secteur,hospitality,3669,25,68.1
secteur,travel,1223,26,212.6
secteur,wellness_fitness,1685,41,243.3
palier_local_guide,1_3,9496,189,199.0
palier_local_guide,4_et_plus,5577,56,100.4
palier_local_guide,sans_niveau,1333,75,562.6
taille_texte,sans_texte,4337,71,163.7
taille_texte,texte_1_50,2397,41,171.0
taille_texte,texte_51_200,5204,111,213.3
taille_texte,texte_201p,4468,97,217.1
habitude_reponse_fiche,habitude_25_75,3096,64,206.7
habitude_reponse_fiche,habitude_historique_insuffisant,290,1,34.5
habitude_reponse_fiche,habitude_moins_de_25,4694,91,193.9
habitude_reponse_fiche,habitude_plus_de_75,8326,164,197.0
region,Europe,7663,84,109.6
region,US,8743,236,269.9
n_avis_meme_jour_auteur,1,16288,318,195.2
n_avis_meme_jour_auteur,2,105,2,190.5
n_avis_meme_jour_auteur,3,9,0,0.0
n_avis_meme_jour_auteur,4,4,0,0.0
