habitude_reponse_fiche,reponse_au_jalon,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
habitude_25_75,0,2246,37,164.7
habitude_25_75,1,850,27,317.6
habitude_historique_insuffisant,0,218,1,45.9
habitude_historique_insuffisant,1,72,0,0.0
habitude_moins_de_25,0,4491,90,200.4
habitude_moins_de_25,1,203,1,49.3
habitude_plus_de_75,0,1666,75,450.2
habitude_plus_de_75,1,6660,89,133.6
