variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value,risque_relatif_vs_3_etoiles
const,Europe,-6.036322235939226,0.7327524531905711,-8.237873799883854,0.0023903338515829536,0.0005685105690803613,0.010050289709241524,1.7529794481884966e-16,
has_photo,Europe,0.27024518833757,0.23568718034973823,1.1466265918093248,1.3102856781181935,0.8255601141545225,2.079616649164214,0.25153598137138133,
langue_minoritaire_sur_la_fiche,Europe,-0.0435770000334338,0.20022511068589022,-0.21764003467974938,0.9573588345905297,0.6466106094432487,1.4174464890975151,0.827709588939348,
vu_tardivement,Europe,2.4182402640102247,0.9303832212079339,2.599187312160013,11.226086973662092,1.8125281861812192,69.52996907912664,0.00934447681396893,
log_rc,Europe,-0.22982315984352455,0.09437755772196708,-2.435146293153457,0.7946741203741606,0.660472511283511,0.9561441949570684,0.014885770042588554,
log_photos_auteur,Europe,-0.0603750675078587,0.05976384573942485,-1.0102272830817953,0.9414113745410287,0.8373525816100574,1.0584016764015245,0.31238641071739304,
log_burst,Europe,0.42132712270865097,0.5283455682813115,0.7974461186060715,1.5239827262348509,0.5410675413690433,4.292483234136745,0.4251919838854811,
log_ratio_pic_journalier_fiche,Europe,0.3955955955993074,0.11988131278056437,3.299893756781106,1.4852685469458438,1.174253398525201,1.878659801468119,0.0009672143714762987,
age_a_la_premiere_observation_j,Europe,-0.18345585351506272,0.07509094656774098,-2.443115473974798,0.8323886219585418,0.7184699451342945,0.9643699401184145,0.014561077408285602,
fenetre_observation_j,Europe,0.08873971905773141,0.04678180623007108,1.8968852682026205,1.0927961852859271,0.9970534134478927,1.1977327257180943,0.05784308218020481,
etoiles_1,Europe,1.2817756369665452,0.2975993267230166,4.307051534963743,3.6030317252773956,2.0107176029846507,6.45632066585857,1.6544507478757587e-05,6.9504601076779595
etoiles_2,Europe,0.7257929238428962,0.3901456757422666,1.8603126190289005,2.066368923733765,0.9618675215019316,4.4391565714843235,0.06284130923263992,3.9861471858261903
etoiles_3,Europe,-0.6570322229624553,0.4809823387627288,-1.3660215147454156,0.5183875124032777,0.2019489605327979,1.3306610358710687,0.17193221060857622,1.0
etoiles_4,Europe,-0.3761347918112896,0.2981532439984905,-1.2615485472067978,0.6865097909072957,0.38269979894032863,1.231502327193708,0.2071112805767631,1.324317763220399
guide_4_et_plus,Europe,0.2999927612491838,0.24760449874591936,1.2115804146071794,1.349849036319824,0.8308523821600399,2.1930398949046803,0.22567303543393635,
guide_sans_niveau,Europe,0.9601107972386335,0.17744853640099295,5.410643653149122,2.6119858582117432,1.8447025717680614,3.6984119976366268,6.279862389650661e-08,
texte_texte_1_50,Europe,0.14700238020868311,0.29583547300871227,0.49690586025278294,1.1583567201572975,0.6486743291949479,2.0685114713863135,0.6192554387673894,
texte_texte_51_200,Europe,0.2262551727243884,0.2778970818855171,0.8141689404914184,1.2538955844115054,0.7273022783738325,2.1617615994852337,0.41554817599197824,
texte_texte_201p,Europe,0.24245593481123942,0.2742241353477827,0.884152427005546,1.2743750923471504,0.7445215407038018,2.1813094547400182,0.3766139352191842,
secteur_food_beverage,Europe,-0.04053590819828291,0.6984874974579042,-0.05803383503041999,0.9602746821586241,0.24425408907036342,3.7752795406802986,0.9537216774762463,
secteur_healthcare,Europe,-1.0255195386968883,0.5803945465596876,-1.7669351732811711,0.35861010517273467,0.1149713920007066,1.118549626077498,0.07723908561896796,
secteur_home_services,Europe,0.5916402005429109,0.608218559760204,0.9727427600633738,1.8069497461004154,0.5485667718450083,5.951996279233013,0.3306811675490152,
secteur_hospitality,Europe,0.043517671643858835,0.5053527203671623,0.08611346073736621,1.044478451800157,0.38792026627610676,2.812266672085565,0.9313762232533191,
secteur_travel,Europe,0.3842595431846191,0.7813614953977865,0.49178203104184803,1.4685265382787804,0.31753067641034727,6.791690862781733,0.6228734406407364,
secteur_wellness_fitness,Europe,0.5323554208377599,0.5663828659117994,0.9399214786992894,1.702938725727083,0.5611681993491416,5.167791594292908,0.34725783908293095,
taille_large,Europe,0.24451742319397385,0.45941037919581246,0.5322418348971482,1.2770049115347861,0.5189693911454971,3.1422692203185756,0.5945585115482925,
taille_small,Europe,0.1310301245475785,0.5111670146864742,0.25633525009031777,1.1400021228429154,0.4186002740355206,3.1046440260478056,0.7976919806454766,
etoiles_5,Europe,0.0,,,1.0,1.0,1.0,,1.9290588142525578
