variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value,risque_relatif_vs_3_etoiles
const,tous,-7.079561442760626,0.5380555836103587,-13.157676750154128,0.0008421423950486628,0.00029335384709773717,0.002417571204723321,1.5374083478994156e-39,
has_photo,tous,0.003669034339018981,0.1620117088860193,0.022646723278502486,1.0036757734850414,0.7306154044758782,1.3787897874990058,0.9819320735850166,
langue_minoritaire_sur_la_fiche,tous,0.12706199861629341,0.2038992877376243,0.623160581020742,1.135487414247724,0.7614176442872314,1.6933304311879132,0.5331790026597873,
vu_tardivement,tous,1.3667605081908185,0.7776340722226638,1.757588250067658,3.922622786235977,0.854384231560728,18.009425917177666,0.07881759403845615,
log_rc,tous,-0.010862890446655976,0.06739083944354923,-0.16119238959406954,0.9891958976855335,0.8668004339860649,1.12887405870129,0.8719418749623299,
log_photos_auteur,tous,-0.1596242418209982,0.03492365359516571,-4.5706627282288155,0.8524640491310209,0.7960658701823733,0.9128578202886336,4.861842187801604e-06,
log_burst,tous,2.5554698666885884,0.3843320378182484,6.649120071267847,12.877348873521306,6.062928380449391,27.35082844539378,2.948503964060257e-11,
log_ratio_pic_journalier_fiche,tous,0.043818438409005636,0.08563728903925513,0.5116747494064154,1.0447926434522055,0.8833554918763384,1.2357331536969263,0.6088786610407952,
age_a_la_premiere_observation_j,tous,-0.11456599614808098,0.023736702147356393,-4.826533839320238,0.8917530842074739,0.8512162435416856,0.9342203808104358,1.3892979680693377e-06,
fenetre_observation_j,tous,0.06500483631195979,0.025423940643018693,2.556835591488444,1.0671641855106258,1.0152905506281091,1.121688169098013,0.010562912813720253,
etoiles_1,tous,1.0148160977459946,0.17505104902525045,5.797258019285627,2.7588559908859125,1.9576060941244335,3.8880581753865777,6.740794105640406e-09,5.088081836210809
etoiles_2,tous,0.7039383557859846,0.2759963653311098,2.5505348773034653,2.02169921992284,1.1770312987233493,3.472522557615773,0.010755776164428433,3.7285639820104497
etoiles_3,tous,-0.6120848123234072,0.31732347901977626,-1.9288985933664895,0.5422192644881838,0.2911177650882317,1.0099065259483606,0.053743452499949114,1.0
etoiles_4,tous,-0.30078105707908115,0.16308641705002336,-1.8443047711743084,0.7402398252754596,0.5377160959149322,1.0190414664665917,0.06513873656412932,1.365203846038545
guide_4_et_plus,tous,-0.0646445500762266,0.16738295535608402,-0.3862074841414067,0.9374006031395755,0.6752251324247752,1.301373199203801,0.6993430113963414,
guide_sans_niveau,tous,0.5978475399581167,0.11308574735663676,5.2866745273628,1.8182009804691524,1.4567436208085034,2.269345654346654,1.2455997389002978e-07,
texte_texte_1_50,tous,0.043595293266081234,0.12436054584751018,0.350555660309962,1.0445595290585956,0.8186104922525811,1.332873961515822,0.7259217258831437,
texte_texte_51_200,tous,-0.01131851072323665,0.12356001811789669,-0.09160334302020674,0.9887453026349533,0.7760861893912603,1.2596761633517797,0.9270131952744448,
texte_texte_201p,tous,0.03782546064697769,0.1518274565439264,0.24913452090949115,1.0385499492221733,0.7712436894416743,1.398502200789738,0.8032567273047528,
secteur_food_beverage,tous,-0.2966360064365214,0.44377166817570496,-0.6684428676034195,0.7433145248292327,0.3114823843427972,1.773828988717527,0.5038509396137509,
secteur_healthcare,tous,0.31141564144334966,0.3069926531325781,1.0144074728357144,1.3653566020532562,0.7480549043119141,2.4920612645206384,0.3103883599885334,
secteur_home_services,tous,1.5139693342387452,0.27065397132430224,5.593745130843401,4.544734609787875,2.6737909534897186,7.724842006233219,2.2222310097398557e-08,
secteur_hospitality,tous,-0.11348894160816425,0.33543212275028156,-0.3383365334173827,0.8927140683385661,0.4625855244215828,1.7227914963532123,0.7351095956425369,
secteur_travel,tous,0.8920029844678171,0.5132349517888616,1.7380012435995902,2.440012066226839,0.8923301990040768,6.672035632075886,0.08221059464854426,
secteur_wellness_fitness,tous,0.6426954824600828,0.33094054157472247,1.9420270463145106,1.9015997060055045,0.9940815235442793,3.6376105543009323,0.052133826168544034,
taille_large,tous,0.5694004122911009,0.27626850036359674,2.0610399359380946,1.7672071380309224,1.028317633709576,3.0370198529430907,0.039299230258072824,
taille_small,tous,0.5881193586060803,0.28744773439620774,2.0460045017973165,1.800598948294769,1.025040528441769,3.1629545199825833,0.040755927759211996,
region_US,tous,0.6152798503166033,0.18587708097349587,3.310143709456766,1.8501742989791155,1.285268268806539,2.6633699902834214,0.0009324808228054573,
etoiles_5,tous,0.0,,,1.0,1.0,1.0,,1.8442723552877238
