part_avis,part_suppressions
0.00010313531353135314,0.0
0.005053630363036303,0.009345794392523364
0.010004125412541254,0.018691588785046728
0.014954620462046205,0.037383177570093455
0.019905115511551157,0.059190031152647975
0.024855610561056105,0.06542056074766354
0.029806105610561056,0.08099688473520249
0.03475660066006601,0.09034267912772585
0.039707095709570955,0.102803738317757
0.04465759075907591,0.1059190031152648
0.04960808580858086,0.1308411214953271
0.054558580858085806,0.1557632398753894
0.05950907590759076,0.16199376947040497
0.06445957095709572,0.17757009345794392
0.06941006600660066,0.19314641744548286
0.07436056105610561,0.22429906542056074
0.07931105610561057,0.2367601246105919
0.08426155115511551,0.2554517133956386
0.08921204620462046,0.27414330218068533
0.09416254125412542,0.29283489096573206
0.09911303630363036,0.30218068535825543
0.10406353135313531,0.32087227414330216
0.10901402640264027,0.3302180685358255
0.11396452145214521,0.3426791277258567
0.11891501650165016,0.35514018691588783
0.12386551155115512,0.38317757009345793
0.12881600660066006,0.3925233644859813
0.13376650165016502,0.40809968847352024
0.13871699669966997,0.4174454828660436
0.14366749174917492,0.4205607476635514
0.14861798679867988,0.42990654205607476
0.1535684818481848,0.4392523364485981
0.15851897689768976,0.45482866043613707
0.16346947194719472,0.45794392523364486
0.16841996699669967,0.4766355140186916
0.17337046204620463,0.48598130841121495
0.17832095709570958,0.4953271028037383
0.1832714521452145,0.5046728971962616
0.18822194719471946,0.514018691588785
0.19317244224422442,0.5233644859813084
0.19812293729372937,0.5264797507788161
0.20307343234323433,0.5327102803738317
0.20802392739273928,0.5389408099688473
0.21297442244224424,0.5420560747663551
0.21792491749174916,0.5420560747663551
0.22287541254125412,0.5514018691588785
0.22782590759075907,0.557632398753894
0.23277640264026403,0.5607476635514018
0.23772689768976898,0.5638629283489096
0.24267739273927394,0.573208722741433
0.24762788778877887,0.5763239875389408
0.2525783828382838,0.5794392523364486
0.2575288778877888,0.5887850467289719
0.26247937293729373,0.5981308411214953
0.2674298679867987,0.5981308411214953
0.27238036303630364,0.6074766355140186
0.2773308580858086,0.6137071651090342
0.28228135313531355,0.6261682242990654
0.2872318481848185,0.6355140186915887
0.2921823432343234,0.6355140186915887
0.29713283828382836,0.6417445482866043
0.3020833333333333,0.6479750778816199
0.30703382838283827,0.6635514018691588
0.3119843234323432,0.6666666666666666
0.3169348184818482,0.6697819314641744
0.32188531353135313,0.67601246105919
0.3268358085808581,0.6791277258566978
0.33178630363036304,0.6822429906542056
0.336736798679868,0.6853582554517134
0.34168729372937295,0.6978193146417445
0.3466377887788779,0.7009345794392523
0.35158828382838286,0.7009345794392523
0.35653877887788776,0.7071651090342679
