part_avis,part_suppressions
2.856489945155393e-05,0.0008006405124099279
0.005027422303473492,0.008807045636509208
0.01002627970749543,0.021617293835068056
0.015025137111517367,0.03763010408326661
0.020023994515539306,0.04803843074459568
0.025022851919561242,0.06405124099279423
0.03002170932358318,0.07205764611689351
0.03502056672760512,0.08166533226581266
0.040019424131627054,0.09607686148919135
0.045018281535649,0.10968775020016013
0.050017138939670934,0.1321056845476381
0.05501599634369287,0.14491593274619696
0.06001485374771481,0.16573258606885508
0.06501371115173675,0.1801441152922338
0.07001256855575869,0.1953562850280224
0.07501142595978062,0.21377101681345076
0.08001028336380256,0.24179343474779824
0.0850091407678245,0.2578062449959968
0.09000799817184643,0.27702161729383507
0.09500685557586837,0.2946357085668535
0.1000057129798903,0.3082465972778223
0.10500457038391225,0.32506004803843075
0.11000342778793419,0.34267413931144913
0.11500228519195613,0.36509207365892715
0.12000114259597806,0.38030424339471575
0.125,0.3939151321056846
0.12999885740402195,0.41393114491593275
0.13499771480804387,0.4291433146517214
0.13999657221206582,0.44595676541232987
0.14499542961608775,0.45716573258606885
0.1499942870201097,0.46837469975980783
0.15499314442413162,0.4803843074459568
0.15999200182815357,0.49159327461969576
0.1649908592321755,0.5012009607686149
0.16998971663619744,0.5132105684547638
0.1749885740402194,0.5196156925540433
0.1799874314442413,0.5284227381905524
0.18498628884826326,0.5348278622898318
0.1899851462522852,0.5436349079263411
0.19498400365630714,0.5452361889511609
0.19998286106032906,0.5540432345876701
0.204981718464351,0.5612489991993594
0.20998057586837293,0.5636509207365893
0.21497943327239488,0.567654123298639
0.21997829067641683,0.578062449959968
0.22497714808043875,0.5836669335468375
0.2299760054844607,0.5868694955964772
0.23497486288848263,0.5940752602081665
0.23997372029250458,0.6012810248198559
0.2449725776965265,0.6076861489191353
0.24997143510054845,0.610088070456365
0.2549702925045704,0.6140912730184147
0.2599691499085923,0.6180944755804644
0.2649680073126143,0.6236989591673339
0.2699668647166362,0.6285028022417934
0.2749657221206581,0.6325060048038431
0.27996457952468007,0.6389111289031225
0.284963436928702,0.6469175340272217
0.28996229433272397,0.6517213771016813
0.29496115173674586,0.6581265012009607
0.2999600091407678,0.6629303442754203
0.30495886654478976,0.6693354683746997
0.3099577239488117,0.6749399519615693
0.31495658135283366,0.6789431545236189
0.31995543875685556,0.6813450760608487
0.3249542961608775,0.688550840672538
0.32995315356489946,0.6933546837469976
0.3349520109689214,0.6981585268214572
0.3399508683729433,0.7045636509207366
0.34494972577696525,0.7133706965572458
0.3499485831809872,0.7189751801441153
0.35494744058500916,0.7237790232185749
0.3599462979890311,0.7261809447558046
0.364945155393053,0.733386709367494
0.36994401279707495,0.7357886309047238
0.3749428702010969,0.7397918334667735
0.37994172760511885,0.7421937550040032
0.38494058500914075,0.7461969575660529
0.3899394424131627,0.7485988791032826
0.39493829981718465,0.7510008006405124
0.3999371572212066,0.7526020816653323
0.40493601462522855,0.7590072057646117
0.40993487202925044,0.7622097678142514
0.4149337294332724,0.7646116893514812
0.41993258683729434,0.767013610888711
0.4249314442413163,0.7742193755004003
0.4299303016453382,0.77662129703763
0.43492915904936014,0.77822257806245
0.4399280164533821,0.7838270616493195
0.44492687385740404,0.7862289831865492
0.449925731261426,0.7878302642113691
0.4549245886654479,0.7902321857485989
0.45992344606946983,0.7942353883106485
0.4649223034734918,0.7974379503602882
0.46992116087751373,0.7974379503602882
0.4749200182815356,0.7990392313851081
0.4799188756855576,0.800640512409928
0.48491773308957953,0.8022417934347478
0.4899165904936015,0.8046437149719776
0.4949154478976234,0.8078462770216173
0.4999143053016453,0.8126501200960768
