activite,fiches,avis,suppressions,part_fiches_pct,part_avis_pct,part_suppr_pct,taux_pct
antiparasitaire,182,345582.0,1535.0,38.2,69.6,83.1,0.44
autres services,294,151133.0,313.0,61.8,30.4,16.9,0.21
