variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value,risque_relatif_vs_3_etoiles
const,US,-8.260768696562275,0.5284227383574859,-15.632878937495194,0.0002584602373452073,9.174860895894099e-05,0.0007280949002554987,4.347103100857631e-55,
has_photo,US,-0.05675755729147492,0.17673348125006297,-0.3211477355055761,0.9448231070742965,0.6682126515883735,1.335938045380552,0.7480984369142658,
langue_minoritaire_sur_la_fiche,US,-0.22027806056631105,0.39310015181818786,-0.5603611688967027,0.8022956801526117,0.37130175155689776,1.7335721032625007,0.5752331123520549,
j8_pendant_suivi,US,1.8818893315967704,0.1053885277618121,17.856681097680916,6.565898309976511,5.34056585545898,8.072369442441293,2.5644157191540757e-71,
log_rc,US,0.03308463053266863,0.06710610100963717,0.49301971109776316,1.0336380128753992,0.9062492407659316,1.1789334474454531,0.6219986598993565,
log_photos_auteur,US,-0.220394853845105,0.03100558630311357,-7.108230487580653,0.8022019828812766,0.7549040028813013,0.8524633845925419,1.17540152702849e-12,
log_burst,US,3.8145493537812185,0.46328693116631636,8.233664921603035,45.356312126172206,18.293094779534513,112.4574641130845,1.815711163746146e-16,
log_ratio_pic_journalier_fiche,US,-0.17777027733487888,0.10077743105304832,-1.763988975282593,0.8371347102183092,0.6870897102679335,1.0199461767212534,0.0777338353541132,
etoiles_1,US,0.8793973291132391,0.19418025247129703,4.52876807976768,2.4094471650993987,1.6467621517785598,3.5253637783303797,5.932857446881659e-06,2.8066988784351925
etoiles_2,US,0.2583544330420032,0.28822557462895665,0.8963619324017041,1.2947976563779326,0.7359763362133983,2.277927819782076,0.37005949172926256,1.508274255852603
etoiles_3,US,-0.1526116872841747,0.27972776530111865,-0.5455721820102225,0.8584630091998783,0.49615443851407043,1.4853414198442385,0.5853600505659161,1.0
etoiles_4,US,-0.48516493105417796,0.18012371135426314,-2.693509518577301,0.6155956575502833,0.43248790510766216,0.8762280034176427,0.007070412654651312,0.7170904872465536
guide_4_et_plus,US,0.051161659024835736,0.12952304219813604,0.3950004428290984,1.0524930245271993,0.8165241097393675,1.356655061945446,0.6928425611622531,
guide_sans_niveau,US,0.6856387453066867,0.12578149662695123,5.451030268308754,1.985039365257881,1.551328315994864,2.5400047436744244,5.007884509449424e-08,
texte_texte_1_50,US,0.1308726161071751,0.11293455449723154,1.1588359000467239,1.1398225770268517,0.9134971314743737,1.422221769873811,0.24652308103071707,
texte_texte_51_200,US,-0.007304448228534661,0.10902929278795798,-0.06699528210955634,0.9927221644171067,0.8017183355539992,1.22923132978366,0.9465854590948245,
texte_texte_201p,US,0.06197613068554186,0.12745219507409747,0.4862696217158952,1.0639369489793464,0.8287592456460786,1.3658512256126123,0.6267760146836541,
secteur_food_beverage,US,-0.6694650291941354,0.5569166963739215,-1.2020918632050626,0.5119824001737298,0.17187261337497284,1.525117777291112,0.229327938539989,
secteur_healthcare,US,0.3520826116638421,0.3196423445366654,1.1014892666182892,1.422025994799727,0.7600243007347396,2.66064904494668,0.27068377338765337,
secteur_home_services,US,1.5037968185430979,0.28142161178452135,5.343572616926534,4.498737575063468,2.5914578530331145,7.809750695192694,9.113229600758061e-08,
secteur_hospitality,US,-0.26294025960913453,0.4174308539397729,-0.6299013528287769,0.7687878236243946,0.33922567016788363,1.7423054023612916,0.5287591277224379,
secteur_travel,US,0.8802897149736688,0.5787548234952362,1.521006269386046,2.411598281351096,0.7756538755572919,7.497940065647216,0.12825826404090193,
secteur_wellness_fitness,US,0.7129530779632436,0.385152633481607,1.8510923098680843,2.0400066710294293,0.958934782437547,4.339843849720417,0.0641562742381925,
taille_large,US,0.21239903213060077,0.3015824525754661,0.7042817986150947,1.2366412462297534,0.6847566815165883,2.233321138962308,0.4812572990396756,
taille_small,US,0.42007588652646227,0.3184157234535072,1.319268665411238,1.522077056376919,0.8154562849628256,2.84100890295381,0.18707930952658613,
etoiles_5,US,0.0,,,1.0,1.0,1.0,,1.1648725562817668
