risque_prevu,risque_observe,avis
0.0006301429640260531,0.0007692307692307692,20800
0.0011512073296368087,0.001346153846153846,20800
0.0016161553385649304,0.002596153846153846,20800
0.002139327476968688,0.0016346153846153845,20800
0.002793143379231169,0.002980769230769231,20800
0.003711289512378336,0.004519448050387038,20799
0.0050957385141311715,0.004519230769230769,20800
0.007570592277101962,0.009278846153846153,20800
0.01175564275520221,0.012932692307692308,20800
0.03828087400721631,0.03365384615384615,20800
