variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value,risque_relatif_vs_3_etoiles
const,tous,-8.850923784478551,0.4914341845365555,-18.010395009100495,0.0001432493436143715,5.467428400600763e-05,0.0003753204055437377,1.6147216803939139e-72,
has_photo,tous,0.004762013661758966,0.13055141141335305,0.036476156099771576,1.0047733700681147,0.7779336425144062,1.2977578935074026,0.9709026907302403,
langue_minoritaire_sur_la_fiche,tous,0.06107270918122641,0.18696306329856155,0.3266565497148457,1.0629761995066143,0.7368520440244613,1.5334400031602757,0.7439276671707988,
j8_pendant_suivi,tous,1.6765423577231906,0.11990164822168034,13.982646465572456,5.347035834412596,4.227198352135619,6.763532210417351,1.9895007370982822e-44,
log_rc,tous,-0.13079506682486441,0.06822698453171584,-1.9170577114406004,0.8773975638366166,0.7675762167182959,1.0029316545498956,0.05523060026556099,
log_photos_auteur,tous,-0.16337293661596333,0.0324078323717076,-5.041155938543725,0.8492744038257886,0.7970075550461975,0.90496885308928,4.6272820198958563e-07,
log_burst,tous,2.192149755244969,0.46272352572353437,4.737493629305382,8.9544422975698,3.615493316373277,22.17734340633167,2.163776568763647e-06,
log_ratio_pic_journalier_fiche,tous,0.3812893664041172,0.16073308187827134,2.3721897318741183,1.46417122607868,1.0685026915778761,2.0063565549946936,0.017683007723956565,
etoiles_1,tous,1.8914855219577247,0.33924060316842714,5.575646029076993,6.629209205913274,3.4095699114075035,12.889137292282065,2.4661293133902842e-08,7.303945970253072
etoiles_2,tous,0.7955361886589639,0.2971772123853724,2.6769757420946907,2.2156286733333936,1.2374830957378897,3.9669312938532997,0.007429001344129111,2.441140657581822
etoiles_3,tous,-0.09692922402569218,0.23706944378271147,-0.4088642655884986,0.9076202415669815,0.5703090935886322,1.4444351530826194,0.6826392744813397,1.0
etoiles_4,tous,-0.4442879325865685,0.15393735221523186,-2.886160676359918,0.6412807486173562,0.4742599931992508,0.8671214195679839,0.0038997301067203874,0.7065518366031618
guide_4_et_plus,tous,0.1367436522063229,0.11143784899965581,1.227084455001866,1.1465341993330207,0.921575550914882,1.426405755811575,0.21979084985552422,
guide_sans_niveau,tous,0.8836879298891678,0.09566044067874757,9.237757254922332,2.4198073507923166,2.006108772027825,2.918818608738586,2.5171779629808103e-20,
texte_texte_1_50,tous,-0.050154084542486994,0.10599931176400534,-0.47315481306283386,0.9510828660415261,0.7726656048414946,1.1706986986476844,0.6361027332714002,
texte_texte_51_200,tous,-0.21194456397637637,0.12219843095097258,-1.734429503938647,0.8090095445956438,0.6367048417090537,1.0279432483818416,0.08284190391406236,
texte_texte_201p,tous,-0.5020395780912116,0.2559564649526747,-1.9614256595708048,0.6052948537572115,0.3665189583063685,0.9996259448023154,0.04982938916462852,
secteur_food_beverage,tous,-0.4157027426564348,0.3876642541194212,-1.0723267318022474,0.6598763944373941,0.30866130029020455,1.410727083461049,0.28357330404703784,
secteur_healthcare,tous,0.25457898978681326,0.2983433892237921,0.8533086335486036,1.2899184377016315,0.7188063369366016,2.3147953633989347,0.3934881735795265,
secteur_home_services,tous,1.7022169534323466,0.28271559596173124,6.020951718782295,5.486096340036213,3.1522124377239797,9.547977379941475,1.7339447913631742e-09,
secteur_hospitality,tous,-0.07251914340008186,0.3139418523492104,-0.23099546255914885,0.9300479422100071,0.5026637269991737,1.7208108091923064,0.8173183270697498,
secteur_travel,tous,1.2770385333927023,0.5173864314989026,2.468248983053223,3.586004153342609,1.3008003925213298,9.88577944911681,0.013577584235939378,
secteur_wellness_fitness,tous,1.4476755217263766,0.3962487754108637,3.6534510932565185,4.253216506410237,1.9562750747797852,9.247089473057283,0.00025873908918654147,
taille_large,tous,0.7933699731015975,0.33123623891447207,2.3951786667474275,2.2108343386878,1.1550676046839692,4.231603806825178,0.016612268185026986,
taille_small,tous,0.5711008423009868,0.2710784010768152,2.106773686256009,1.770214706437213,1.0405994477845897,3.0113989715813054,0.03513720144369967,
region_US,tous,0.6708515902810978,0.13081763889768783,5.1281432376697245,1.9559022389586653,1.5135437105405807,2.5275474647489213,2.926137783974728e-07,
etoiles_5,tous,0.0,,,1.0,1.0,1.0,,1.101782391139192
