risque_prevu,risque_observe,avis
0.00015826903217900363,0.0007256141805742718,9647
0.00032758537845255204,0.001036591686534674,9647
0.0005023899674321673,0.001554887529802011,9647
0.0007123191598964935,0.0009330292349160273,9646
0.0009914636789730951,0.001554887529802011,9647
0.0014079245864013828,0.0019697283848227245,9646
0.0021000181163411944,0.0034207525655644243,9647
0.003417675182754484,0.004561476259589467,9646
0.006663352757260091,0.0069451642997823155,9647
0.05526967971539202,0.05255519850730797,9647
