risque_prevu,risque_observe,avis
0.0009583550900617122,0.0013457884737175427,12632
0.001879097750372095,0.0017417464967144328,12631
0.0026588557852043255,0.0034832172260924636,12632
0.0038208362715208915,0.005225239490143298,12631
0.005036873787177067,0.006174794173527549,12632
0.006949989127047031,0.00799619982582535,12631
0.011506246681442227,0.009737946322539784,12631
0.01633884162337399,0.01725775807473084,12632
0.02068114116560997,0.021217639141794,12631
0.07158527671145834,0.06507283090563648,12632
