risque_prevu,risque_observe,avis
0.0004922690007421861,0.0009871225378023064,22287
0.000991438064645079,0.0015704222192309417,22287
0.0015300913778018557,0.002153818540787939,22286
0.002180874369448004,0.0025575447570332483,22287
0.0031051039111043223,0.0041279669762641896,22287
0.004555088272224533,0.011980615633132909,22286
0.007046712451932448,0.009826356171759322,22287
0.011151492886207088,0.01507672978551557,22286
0.017221083333502717,0.016332391080001795,22287
0.06144717825714816,0.04666397451429084,22287
