risque_prevu,risque_observe,avis
0.00037999636388998104,0.00031214233690562894,9611
0.0006694788839506917,0.0007283321194464676,9611
0.0008886672155514465,0.0011446409989594173,9610
0.001109585507004032,0.0008323795650816773,9611
0.001371587978441091,0.002393340270551509,9610
0.001718949481127023,0.0019769014670689834,9611
0.0022136662192661746,0.001352757544224766,9610
0.003153133052878678,0.003329518260326709,9611
0.006350811156421598,0.00894901144640999,9610
0.024662580308599802,0.021537821246488398,9611
