variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value
const,jalon2_fenetre6,-7.281455185125468,0.5229349569275547,-13.924208142264645,0.0006881834004551839,0.00024693414731088255,0.0019179056352454007,4.515178697332515e-44
reponse_au_jalon,jalon2_fenetre6,-0.23706431666866257,0.1985071310881959,-1.1942357706199274,0.7889405443582097,0.5346563129190555,1.1641631595706248,0.23238575430164277
has_photo,jalon2_fenetre6,-0.426781708619819,0.24891764784882311,-1.7145498212285024,0.652605994943677,0.40065629716094003,1.0629923644139017,0.08642779532065782
langue_minoritaire_sur_la_fiche,jalon2_fenetre6,-0.11953738011858793,0.4277856082964325,-0.27943291639618445,0.8873308386671448,0.38366643395149896,2.0521889526287618,0.7799126130853546
log_rc,jalon2_fenetre6,-0.13288651366548207,0.052207671011117084,-2.545344603423992,0.8755644510709085,0.7904035283412174,0.9699009183169465,0.0109169942628698
log_burst,jalon2_fenetre6,3.57117390670892,0.5300653381924602,6.737233411425727,35.5583108001301,12.581971228154666,100.49247800927385,1.614307493711211e-11
etoiles_1,jalon2_fenetre6,0.8492452361108053,0.2556887115759577,3.32140293122999,2.337881637212649,1.416380353128447,3.8589144063906904,0.0008956613128486729
etoiles_2,jalon2_fenetre6,0.36370622930460256,0.3971028854317601,0.9158992358092635,1.4386515184162754,0.6606037269352804,3.1330707155459723,0.35971974766077064
etoiles_3,jalon2_fenetre6,-0.44471168441105224,0.4807654299557005,-0.9250076164004338,0.6410090622979755,0.24982499852556903,1.6447217867433548,0.35496194565426376
etoiles_4,jalon2_fenetre6,-0.37074662932684116,0.2586600278892181,-1.433335611815633,0.690218800607913,0.41573345043580373,1.1459313466674976,0.1517619495137592
profil_aucun_niveau,jalon2_fenetre6,0.5561790414977255,0.19012040660643795,2.9254042289581967,1.743996016727624,1.201474907689794,2.531490326510508,0.003440090452184583
profil_niveau_sans_avis_declare,jalon2_fenetre6,-0.16955162331279686,0.18884948528470347,-0.8978135315390785,0.8440431810505203,0.5829290413615312,1.222119402069809,0.3692849693830571
texte_texte_1_50,jalon2_fenetre6,-0.014279322183322379,0.16628166132280864,-0.08587430549903763,0.9858221438083483,0.7116383801313279,1.3656448645216976,0.9315663372823347
texte_texte_51_200,jalon2_fenetre6,0.05562549683845511,0.17174994316753447,0.3238749068126031,1.0572016842165737,0.7550296899141347,1.4803065575308267,0.7460327423629903
texte_texte_201p,jalon2_fenetre6,0.15248951155325471,0.1632034283571623,0.9343523790415681,1.1647302458193936,0.8458752996508498,1.603778412830431,0.3501221536495833
secteur_food_beverage,jalon2_fenetre6,-0.6972055563852295,0.5516249536734341,-1.263912286313973,0.4979749241263287,0.16891315049328906,1.4680859621316167,0.2062615114094566
secteur_healthcare,jalon2_fenetre6,0.32347235715901673,0.38435648773342546,0.841594632801839,1.381917955601748,0.6506050414669355,2.9352635075016824,0.40001489457263495
secteur_home_services,jalon2_fenetre6,1.4518702672297945,0.3442939401453459,4.216949815082073,4.271095139166882,2.175082390362274,8.386925372871328,2.4762905727236945e-05
secteur_hospitality,jalon2_fenetre6,-0.365888091063573,0.42431446783163645,-0.862304066447137,0.6935804147133896,0.3019393329276199,1.5932134015455168,0.3885202156194212
secteur_travel,jalon2_fenetre6,0.9245306335588759,0.507519561316942,1.8216650234324934,2.5206848577742553,0.9322172150698788,6.815849406660157,0.0685058281388859
secteur_wellness_fitness,jalon2_fenetre6,-0.015017260726344673,0.46259161880465416,-0.032463322109357644,0.985094936002202,0.3978500222895647,2.439140325675019,0.9741025653196319
taille_large,jalon2_fenetre6,0.49005611958724543,0.250428728606028,1.956868616133083,1.63240782743836,0.9992251311912832,2.6668217520761175,0.050362917228489235
taille_small,jalon2_fenetre6,0.8888309137530609,0.27976040190948764,3.177114801402913,2.4322844381788578,1.4056651423818194,4.208689117937935,0.0014874814218704447
region_US,jalon2_fenetre6,0.8480506025075704,0.2804458980568483,3.023936553836365,2.335090392837572,1.3476828936327634,4.045942237958052,0.0024950875857417346
