caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,9201,298,323.9
reponse_au_jalon,1,5992,207,345.5
has_photo,0,13865,484,349.1
has_photo,1,1328,21,158.1
langue_minoritaire_sur_la_fiche,0,13839,490,354.1
langue_minoritaire_sur_la_fiche,1,1354,15,110.8
star,1,1038,59,568.4
star,2,379,8,211.1
star,3,522,5,95.8
star,4,1284,16,124.6
star,5,11970,417,348.4
bucket,large,6868,265,385.8
bucket,mono,3464,64,184.8
bucket,small,4861,176,362.1
secteur,automotive,2017,51,252.9
secteur,food_beverage,3070,33,107.5
secteur,healthcare,1733,56,323.1
secteur,home_services,2696,269,997.8
secteur,hospitality,3160,35,110.8
secteur,travel,1053,27,256.4
secteur,wellness_fitness,1464,34,232.2
situation_auteur,aucun_niveau,1209,78,645.2
situation_auteur,guide_etabli,12564,379,301.7
situation_auteur,niveau_sans_avis_declare,1420,48,338.0
taille_texte,sans_texte,4023,126,313.2
taille_texte,texte_1_50,2222,70,315.0
taille_texte,texte_51_200,4880,173,354.5
taille_texte,texte_201p,4068,136,334.3
region,Europe,6586,84,127.5
region,US,8607,421,489.1
n_avis_meme_jour_auteur,1,15071,485,321.8
n_avis_meme_jour_auteur,2,100,11,1100.0
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,12,8,6666.7
