caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8292,265,319.6
reponse_au_jalon,1,6866,205,298.6
has_photo,0,13832,451,326.1
has_photo,1,1326,19,143.3
langue_minoritaire_sur_la_fiche,0,13806,457,331.0
langue_minoritaire_sur_la_fiche,1,1352,13,96.2
star,1,1022,43,420.7
star,2,378,7,185.2
star,3,521,4,76.8
star,4,1284,16,124.6
star,5,11953,400,334.6
bucket,large,6858,255,371.8
bucket,mono,3453,53,153.5
bucket,small,4847,162,334.2
secteur,automotive,2013,47,233.5
secteur,food_beverage,3058,21,68.7
secteur,healthcare,1729,52,300.8
secteur,home_services,2692,265,984.4
secteur,hospitality,3152,27,85.7
secteur,travel,1051,25,237.9
secteur,wellness_fitness,1463,33,225.6
situation_auteur,aucun_niveau,1204,73,606.3
situation_auteur,guide_etabli,12538,353,281.5
situation_auteur,niveau_sans_avis_declare,1416,44,310.7
taille_texte,sans_texte,4019,122,303.6
taille_texte,texte_1_50,2219,67,301.9
taille_texte,texte_51_200,4874,167,342.6
taille_texte,texte_201p,4046,114,281.8
region,Europe,6570,68,103.5
region,US,8588,402,468.1
n_avis_meme_jour_auteur,1,15039,453,301.2
n_avis_meme_jour_auteur,2,97,8,824.7
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,12,8,6666.7
