caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8566,217,253.3
reponse_au_jalon,1,5604,99,176.7
has_photo,0,12855,297,231.0
has_photo,1,1315,19,144.5
langue_minoritaire_sur_la_fiche,0,12818,301,234.8
langue_minoritaire_sur_la_fiche,1,1352,15,110.9
star,1,988,54,546.6
star,2,378,7,185.2
star,3,517,4,77.4
star,4,1255,10,79.7
star,5,11032,241,218.5
bucket,large,5845,76,130.0
bucket,mono,3464,64,184.8
bucket,small,4861,176,362.1
secteur,automotive,2017,51,252.9
secteur,food_beverage,3070,33,107.5
secteur,healthcare,1733,56,323.1
secteur,home_services,1675,80,477.6
secteur,hospitality,3160,35,110.8
secteur,travel,1053,27,256.4
secteur,wellness_fitness,1462,34,232.6
situation_auteur,aucun_niveau,1132,69,609.5
situation_auteur,guide_etabli,11707,211,180.2
situation_auteur,niveau_sans_avis_declare,1331,36,270.5
taille_texte,sans_texte,3717,72,193.7
taille_texte,texte_1_50,2064,36,174.4
taille_texte,texte_51_200,4523,107,236.6
taille_texte,texte_201p,3866,101,261.3
region,Europe,6584,84,127.6
region,US,7586,232,305.8
n_avis_meme_jour_auteur,1,14062,310,220.5
n_avis_meme_jour_auteur,2,94,5,531.9
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,4,0,0.0
