passage,avis_au_jalon,suppressions,avec_reponse,avec_reponse_pct,mde_protection,mde_aggravation,risque_relatif,borne_basse,borne_haute,p_value
Corpus entier,17354,596,6975,40.2,0.56,1.78,0.8044754965858004,0.5369763457102983,1.2052315335248078,0.2914822982530927
Sans les enseignes signalées,16212,380,6521,40.2,0.48,2.09,0.5545726862781666,0.3308611645607603,0.9295465811893504,0.0252733198231831
