jalon,fenetre,risque_relatif,borne_basse,borne_haute,p_value,risque_relatif_08
1,7,0.5970298269504067,0.3841289761493781,0.9279295143041232,0.0218820744726809,0.6337557861328459
2,6,0.5545726862781666,0.3308611645607603,0.9295465811893504,0.0252733198231831,0.5918609030804582
3,5,0.4329749616409402,0.2403655353454247,0.7799259454504073,0.0053077280507804,0.4669622337041676
4,4,0.4618203427077879,0.2540219424076509,0.8396047479885537,0.0113029707111732,0.4989839471464978
5,3,0.4312114068551289,0.2294667800536222,0.8103276533471552,0.0089646622218074,0.4662887903040488
6,2,0.4689555023338657,0.2456541228389974,0.8952394554897993,0.0217093073799913,0.5054908447921941
