perte_par_fiche,fiches,suppressions,part_pct
a. 1 avis perdu,129,129.0,44.6
b. 2 à 3,15,32.0,11.1
c. 4 à 10,11,66.0,22.8
d. plus de 10,4,62.0,21.5
