age_a_la_suppression,suppressions,part_pct,fiches
a. 0 à 14 jours,1818,38.3,448
b. 15 à 30 jours,644,13.6,173
c. 1 à 3 mois,441,9.3,151
d. 3 mois à 1 an,406,8.6,279
e. 1 à 3 ans,807,17.0,403
f. plus de 3 ans,631,13.3,468
