caracteristique,valeur,tranche_age,lignes_avis_vague,suppressions,taux_pour_10000_lignes
secteur,home_services,4-7j,23136,486,210.06
secteur,hospitality,4-7j,27175,54,19.87
secteur,travel,4-7j,9139,44,48.15
secteur,wellness_fitness,4-7j,12563,66,52.54
secteur,automotive,8-14j,28847,40,13.87
secteur,food_beverage,8-14j,43829,30,6.84
secteur,healthcare,8-14j,28391,66,23.25
secteur,home_services,8-14j,39144,327,83.54
secteur,hospitality,8-14j,45870,34,7.41
secteur,travel,8-14j,16828,26,15.45
secteur,wellness_fitness,8-14j,23395,311,132.93
secteur,automotive,15-30j,64877,42,6.47
secteur,food_beverage,15-30j,94476,38,4.02
secteur,healthcare,15-30j,70646,31,4.39
secteur,home_services,15-30j,91246,209,22.91
secteur,hospitality,15-30j,101301,37,3.65
secteur,travel,15-30j,39010,29,7.43
secteur,wellness_fitness,15-30j,51868,142,27.38
secteur,automotive,31-60j,114096,17,1.49
secteur,food_beverage,31-60j,180566,12,0.66
secteur,healthcare,31-60j,124207,26,2.09
secteur,home_services,31-60j,169093,167,9.88
secteur,hospitality,31-60j,161355,18,1.12
secteur,travel,31-60j,63023,25,3.97
secteur,wellness_fitness,31-60j,98643,29,2.94
secteur,automotive,61-90j,113465,24,2.12
secteur,food_beverage,61-90j,176126,9,0.51
secteur,healthcare,61-90j,130575,18,1.38
secteur,home_services,61-90j,172390,51,2.96
secteur,hospitality,61-90j,132811,9,0.68
secteur,travel,61-90j,49546,13,2.62
secteur,wellness_fitness,61-90j,95374,16,1.68
secteur,automotive,90j+,19369,0,0.0
secteur,food_beverage,90j+,30619,2,0.65
secteur,healthcare,90j+,21527,3,1.39
secteur,home_services,90j+,29244,4,1.37
secteur,hospitality,90j+,20335,1,0.49
secteur,travel,90j+,7049,0,0.0
secteur,wellness_fitness,90j+,16494,2,1.21
profil_auteur,compte_vierge,0-3j,7554,25,33.1
profil_auteur,guide_etabli,0-3j,81561,169,20.72
profil_auteur,guide_sans_avis_declare,0-3j,8824,39,44.2
profil_auteur,sans_statut_guide,0-3j,225,4,177.78
profil_auteur,compte_vierge,4-7j,10310,138,133.85
profil_auteur,guide_etabli,4-7j,108140,651,60.2
profil_auteur,guide_sans_avis_declare,4-7j,11772,83,70.51
profil_auteur,sans_statut_guide,4-7j,246,2,81.3
profil_auteur,compte_vierge,8-14j,17403,142,81.6
profil_auteur,guide_etabli,8-14j,187695,568,30.26
profil_auteur,guide_sans_avis_declare,8-14j,20912,123,58.82
profil_auteur,sans_statut_guide,8-14j,294,1,34.01
profil_auteur,compte_vierge,15-30j,10117,52,51.4
profil_auteur,guide_etabli,15-30j,468727,397,8.47
profil_auteur,guide_sans_avis_declare,15-30j,34034,78,22.92
profil_auteur,sans_statut_guide,15-30j,546,1,18.32
profil_auteur,compte_vierge,31-60j,132,0,0.0
profil_auteur,guide_etabli,31-60j,858623,281,3.27
profil_auteur,guide_sans_avis_declare,31-60j,51271,11,2.15
profil_auteur,sans_statut_guide,31-60j,957,2,20.9
profil_auteur,compte_vierge,61-90j,130,1,76.92
profil_auteur,guide_etabli,61-90j,818378,134,1.64
profil_auteur,guide_sans_avis_declare,61-90j,50763,5,0.98
