caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,10658,311,291.8
reponse_au_jalon,1,5610,125,222.8
has_photo,0,14786,410,277.3
has_photo,1,1482,26,175.4
langue_minoritaire_sur_la_fiche,0,14722,406,275.8
langue_minoritaire_sur_la_fiche,1,1546,30,194.0
star,1,1082,81,748.6
star,2,401,13,324.2
star,3,571,6,105.1
star,4,1493,23,154.1
star,5,12721,313,246.0
bucket,large,6709,126,187.8
bucket,mono,3984,89,223.4
bucket,small,5575,221,396.4
secteur,automotive,2333,68,291.5
secteur,food_beverage,3456,51,147.6
secteur,healthcare,2043,71,347.5
secteur,home_services,1961,103,525.2
secteur,hospitality,3639,58,159.4
secteur,travel,1166,30,257.3
secteur,wellness_fitness,1670,55,329.3
palier_local_guide,1_3,9399,250,266.0
palier_local_guide,4_et_plus,5534,96,173.5
palier_local_guide,sans_niveau,1335,90,674.2
taille_texte,sans_texte,4331,87,200.9
taille_texte,texte_1_50,2403,61,253.8
taille_texte,texte_51_200,5155,133,258.0
taille_texte,texte_201p,4379,155,354.0
habitude_reponse_fiche,habitude_25_75,3068,82,267.3
habitude_reponse_fiche,habitude_historique_insuffisant,287,3,104.5
habitude_reponse_fiche,habitude_moins_de_25,4664,125,268.0
habitude_reponse_fiche,habitude_plus_de_75,8249,226,274.0
region,Europe,7618,149,195.6
region,US,8650,287,331.8
n_avis_meme_jour_auteur,1,16142,425,263.3
n_avis_meme_jour_auteur,2,110,8,727.3
n_avis_meme_jour_auteur,3,12,3,2500.0
n_avis_meme_jour_auteur,4,4,0,0.0
