habitude_reponse_fiche,reponse_au_jalon,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
habitude_25_75,0,2291,40,174.6
habitude_25_75,1,763,28,367.0
habitude_historique_insuffisant,0,221,1,45.2
habitude_historique_insuffisant,1,64,0,0.0
habitude_moins_de_25,0,4471,100,223.7
habitude_moins_de_25,1,169,1,59.2
habitude_plus_de_75,0,2033,93,457.5
habitude_plus_de_75,1,6168,85,137.8
