caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,9016,234,259.5
reponse_au_jalon,1,7164,114,159.1
has_photo,0,14699,323,219.7
has_photo,1,1481,25,168.8
langue_minoritaire_sur_la_fiche,0,14647,331,226.0
langue_minoritaire_sur_la_fiche,1,1533,17,110.9
star,1,1056,55,520.8
star,2,395,7,177.2
star,3,569,4,70.3
star,4,1481,11,74.3
star,5,12679,271,213.7
bucket,large,6670,87,130.4
bucket,mono,3963,68,171.6
bucket,small,5547,193,347.9
secteur,automotive,2322,57,245.5
secteur,food_beverage,3440,35,101.7
secteur,healthcare,2036,64,314.3
secteur,home_services,1947,89,457.1
secteur,hospitality,3613,32,88.6
secteur,travel,1164,28,240.5
secteur,wellness_fitness,1658,43,259.3
palier_local_guide,1_3,9361,212,226.5
palier_local_guide,4_et_plus,5497,59,107.3
palier_local_guide,sans_niveau,1322,77,582.5
taille_texte,sans_texte,4318,74,171.4
taille_texte,texte_1_50,2385,43,180.3
taille_texte,texte_51_200,5140,118,229.6
taille_texte,texte_201p,4337,113,260.5
habitude_reponse_fiche,habitude_25_75,3054,68,222.7
habitude_reponse_fiche,habitude_historique_insuffisant,285,1,35.1
habitude_reponse_fiche,habitude_moins_de_25,4640,101,217.7
habitude_reponse_fiche,habitude_plus_de_75,8201,178,217.0
region,Europe,7563,94,124.3
region,US,8617,254,294.8
n_avis_meme_jour_auteur,1,16061,344,214.2
n_avis_meme_jour_auteur,2,105,3,285.7
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,4,0,0.0
