habitude_reponse_fiche,reponse_au_jalon,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
habitude_25_75,0,2237,39,174.3
habitude_25_75,1,817,29,355.0
habitude_historique_insuffisant,0,215,1,46.5
habitude_historique_insuffisant,1,70,0,0.0
habitude_moins_de_25,0,4454,97,217.8
habitude_moins_de_25,1,182,0,0.0
habitude_plus_de_75,0,1749,79,451.7
habitude_plus_de_75,1,6443,90,139.7
