caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,9691,258,266.2
reponse_au_jalon,1,6521,122,187.1
has_photo,0,14731,355,241.0
has_photo,1,1481,25,168.8
langue_minoritaire_sur_la_fiche,0,14674,358,244.0
langue_minoritaire_sur_la_fiche,1,1538,22,143.0
star,1,1067,66,618.6
star,2,396,8,202.0
star,3,569,4,70.3
star,4,1481,11,74.3
star,5,12699,291,229.2
bucket,large,6682,99,148.2
bucket,mono,3972,77,193.9
bucket,small,5558,204,367.0
secteur,automotive,2325,60,258.1
secteur,food_beverage,3446,41,119.0
secteur,healthcare,2041,69,338.1
secteur,home_services,1951,93,476.7
secteur,hospitality,3621,40,110.5
secteur,travel,1166,30,257.3
secteur,wellness_fitness,1662,47,282.8
palier_local_guide,1_3,9378,229,244.2
palier_local_guide,4_et_plus,5506,68,123.5
palier_local_guide,sans_niveau,1328,83,625.0
taille_texte,sans_texte,4323,79,182.7
taille_texte,texte_1_50,2389,47,196.7
taille_texte,texte_51_200,5145,123,239.1
taille_texte,texte_201p,4355,131,300.8
habitude_reponse_fiche,habitude_25_75,3061,75,245.0
habitude_reponse_fiche,habitude_historique_insuffisant,286,2,69.9
habitude_reponse_fiche,habitude_moins_de_25,4651,112,240.8
habitude_reponse_fiche,habitude_plus_de_75,8214,191,232.5
region,Europe,7586,117,154.2
region,US,8626,263,304.9
n_avis_meme_jour_auteur,1,16090,373,231.8
n_avis_meme_jour_auteur,2,108,6,555.6
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,4,0,0.0
