caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8655,216,249.6
reponse_au_jalon,1,7512,119,158.4
has_photo,0,14689,313,213.1
has_photo,1,1478,22,148.8
langue_minoritaire_sur_la_fiche,0,14634,318,217.3
langue_minoritaire_sur_la_fiche,1,1533,17,110.9
star,1,1045,44,421.1
star,2,395,7,177.2
star,3,568,3,52.8
star,4,1481,11,74.3
star,5,12678,270,213.0
bucket,large,6665,82,123.0
bucket,mono,3961,66,166.6
bucket,small,5541,187,337.5
secteur,automotive,2321,56,241.3
secteur,food_beverage,3434,29,84.4
secteur,healthcare,2035,63,309.6
secteur,home_services,1946,88,452.2
secteur,hospitality,3610,29,80.3
secteur,travel,1164,28,240.5
secteur,wellness_fitness,1657,42,253.5
palier_local_guide,1_3,9348,199,212.9
palier_local_guide,4_et_plus,5497,59,107.3
palier_local_guide,sans_niveau,1322,77,582.5
taille_texte,sans_texte,4318,74,171.4
taille_texte,texte_1_50,2383,41,172.1
taille_texte,texte_51_200,5137,115,223.9
taille_texte,texte_201p,4329,105,242.6
habitude_reponse_fiche,habitude_25_75,3054,68,222.7
habitude_reponse_fiche,habitude_historique_insuffisant,285,1,35.1
habitude_reponse_fiche,habitude_moins_de_25,4636,97,209.2
habitude_reponse_fiche,habitude_plus_de_75,8192,169,206.3
region,Europe,7559,90,119.1
region,US,8608,245,284.6
n_avis_meme_jour_auteur,1,16048,331,206.3
n_avis_meme_jour_auteur,2,105,3,285.7
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,4,0,0.0
