variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value
const,jalon6_fenetre2_sans_enseignes,29.68754812417476,,,7818768084892.3125,,,
reponse_au_jalon,jalon6_fenetre2_sans_enseignes,-0.7572473927899879,0.32989552330123206,-2.295415788648138,0.46895550233386574,0.24565412283899746,0.8952394554897993,0.021709307379991372
has_photo,jalon6_fenetre2_sans_enseignes,-0.12249608400203019,0.279417990684337,-0.43839726891607345,0.8847093694567947,0.511634240948651,1.5298246398704076,0.6610983258878804
langue_minoritaire_sur_la_fiche,jalon6_fenetre2_sans_enseignes,-0.21143975593827102,0.32654051312187343,-0.6475146189880463,0.8094180422144256,0.4267967385793597,1.5350575762200018,0.5172989361708276
log_rc,jalon6_fenetre2_sans_enseignes,-0.07502163686299207,0.10165132730830008,-0.7380290926793079,0.9277234130870092,0.7601385365587238,1.132255095349082,0.4604967703955055
log_photos_auteur,jalon6_fenetre2_sans_enseignes,-0.06135264148425913,0.06993189687467627,-0.8773198529736457,0.940491524963949,0.8200281248379184,1.0786511849259364,0.38031293188295456
log_burst,jalon6_fenetre2_sans_enseignes,-50.18847332070486,,,1.5974342129412478e-22,,,
log_ratio_pic_journalier_fiche,jalon6_fenetre2_sans_enseignes,0.004932326822067157,0.1586611891064207,0.03108716662118824,1.0049445107695076,0.736358718611713,1.3714965874645932,0.975200024276898
etoiles_1,jalon6_fenetre2_sans_enseignes,0.834157144435673,0.30120898286060643,2.769363438346407,2.3028722413880054,1.2760870278090453,4.155845521963094,0.0056165944107309275
etoiles_4,jalon6_fenetre2_sans_enseignes,-0.38773710618390655,0.4429865880916422,-0.8752795606166163,0.6785907171195741,0.28479807332497936,1.616883695822633,0.38142181258373087
guide_4_et_plus,jalon6_fenetre2_sans_enseignes,-0.10656346228601661,0.285269117752863,-0.37355414818625987,0.8989179989598588,0.5139236019137825,1.5723223565621691,0.7087360525656892
guide_sans_niveau,jalon6_fenetre2_sans_enseignes,1.1487182664082225,0.20015208062589976,5.739227205712984,3.1541475408444994,2.1306506380515318,4.669299852233581,9.510955025439603e-09
habitude_25_75,jalon6_fenetre2_sans_enseignes,0.7203860238844029,0.37383537035846903,1.927014084284288,2.0552264240219116,0.9877577158642,4.276307424541158,0.053977874722499646
habitude_plus_de_75,jalon6_fenetre2_sans_enseignes,0.4955172314920618,0.4193533024616901,1.1816223422667087,1.641346975886743,0.7215164234298244,3.7338303159423227,0.2373555843311873
texte_texte_1_50,jalon6_fenetre2_sans_enseignes,-0.10294688640627395,0.2983343938743318,-0.3450721355635534,0.9021748899595722,0.5027453227272641,1.6189499837775956,0.7300401409150019
texte_texte_51_200,jalon6_fenetre2_sans_enseignes,0.19871343723100213,0.2750741509568986,0.7223995295077311,1.2198323572718437,0.7114700249441692,2.091431722600188,0.47004887609301294
texte_texte_201p,jalon6_fenetre2_sans_enseignes,0.19221030699381517,0.25448788467122385,0.7552827406386521,1.2119253665462033,0.7359620077698259,1.9957050480484975,0.4500793522515637
secteur_food_beverage,jalon6_fenetre2_sans_enseignes,-1.3616342700371953,0.7023410678782149,-1.9387080327663553,0.25624166649916774,0.06468684197496373,1.0150409209292288,0.05253689998636465
secteur_healthcare,jalon6_fenetre2_sans_enseignes,0.14995023109238514,0.40186088742574133,0.37313965052170944,1.1617764209460684,0.5285157699430237,2.5538016631211633,0.7090445094355924
secteur_home_services,jalon6_fenetre2_sans_enseignes,0.7867713316686143,0.4077956948738883,1.9293272135006847,2.196293862074954,0.9875841769737904,4.884349953205187,0.05369025340256793
secteur_hospitality,jalon6_fenetre2_sans_enseignes,-0.8689856866026666,0.5192906462039274,-1.6734090878683239,0.41937671300507023,0.1515595517105601,1.160447002026086,0.0942467900229725
secteur_travel,jalon6_fenetre2_sans_enseignes,0.43372599686859054,0.5790513860195247,0.7490285099740112,1.5429960244464371,0.4959928017676805,4.800143717756364,0.4538400218955315
secteur_wellness_fitness,jalon6_fenetre2_sans_enseignes,-0.22681812120109401,0.5350581282106575,-0.42391304653126133,0.7970657384666738,0.2792877177457841,2.2747645208505207,0.6716292290366359
taille_large,jalon6_fenetre2_sans_enseignes,0.1078703528853062,0.3732522635145182,0.28900120221537634,1.1139033216729082,0.5359627370531587,2.3150501410900763,0.7725804575600506
taille_small,jalon6_fenetre2_sans_enseignes,1.115912416308914,0.35601032705491914,3.134494511831311,3.052351924698796,1.5191409295494553,6.132974295528739,0.001721504740578492
region_US,jalon6_fenetre2_sans_enseignes,0.44252407753818174,0.29625673735536484,1.4937181901364383,1.556631322212597,0.8709867994626502,2.7820181371155734,0.13524929208303932
