variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value
const,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,-4.204372001948036,1.0714132536838967,-3.9241366368130333,0.01493015923651039,0.0018284194173076391,0.12191385232376961,8.704132589042044e-05
has_photo,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,0.04345626658397594,0.25131219198301846,0.17291746270277386,1.044414317507383,0.638198076825131,1.7091892097839978,0.8627163051672235
langue_minoritaire_sur_la_fiche,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,-0.021953780047573913,0.34291800461067506,-0.06402049397347534,0.978285450313251,0.4995434394870349,1.91583423310965,0.9489539084493364
log_rc,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,-0.1663094075163399,0.09524614903102753,-1.7461011201845305,0.846784192258816,0.7025853227459453,1.0205784906763533,0.08079338220463195
log_photos_auteur,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,-0.08190720990439844,0.06790405509182447,-1.2062197138836253,0.9213574475756704,0.8065440918571749,1.052514741318668,0.22773278460908108
log_burst,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,-0.42711038732161516,1.1985511966329028,-0.35635556371851196,0.6523915324990242,0.062272985528774,6.834660456093996,0.7215743029093864
log_ratio_pic_journalier_fiche,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,-0.07513709655363868,0.15785691052108813,-0.4759823076836481,0.9276163046122032,0.6807698724326325,1.263968990736367,0.6340869824207798
etoiles_1,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,0.7535012907612899,0.2992530579133162,2.5179401541138287,2.1244252405609902,1.1817259921612606,3.819144736317811,0.011804337609233273
etoiles_2,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,0.32619531119696277,0.5310698945784518,0.6142229385001899,1.3856859824328387,0.4893474278167922,3.9238494631052623,0.5390680173616429
etoiles_4,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,-0.4405183922785305,0.38649134947944,-1.1397884917006778,0.6437026440965404,0.3017888985074438,1.3729898484210052,0.2543744294020507
guide_4_et_plus,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,0.04795306444547037,0.23737697257760898,0.20201228419404668,1.0491214130735818,0.6588250533971136,1.6706343113307163,0.8399071207654099
guide_sans_niveau,jalon5_fenetre3_sans_enseignes_reponse_par_habitude,0.9952302302620453,0.1801527054031899,5.524370161606372,2.70534712236208,1.9005387829625922,3.8509622208624217,3.3066966049340354e-08
